"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"selected_backend__cbmc_citeseq__kernelpls__cuda__r3","selected_component_backend_panel","cbmc_citeseq","regression","kernelpls","cuda","cuda","cuda_flash","rsvd","argmax","float64",49,7755,862,1000,10,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.498,0.00900000000000012,0.507,452.79296875,790.3046875,791.37890625,860.1953125,407.40234375,"rmsd",1050.86326615469,NA,0.513276068671871,1050.86326615469,2377403560.99018,8620,"success","","","0.99.39"
"selected_backend__ccle__plssvd__cpu__r1","selected_component_backend_panel","ccle","classification","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",17,547,71,1000,18,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.019,0.003,0.022,393.2265625,395.3359375,395.3984375,462.953125,69.7265625,"accuracy",0.647887323943662,0.647887323943662,0.395903154394287,NA,24516,71,"success","","","0.99.39"
"selected_backend__ccle__plssvd__cpu__r2","selected_component_backend_panel","ccle","classification","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",17,547,71,1000,18,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.02,0.003,0.023,393.16796875,395.33984375,395.40234375,462.91796875,69.75,"accuracy",0.647887323943662,0.647887323943662,0.395903154394287,NA,24516,71,"success","","","0.99.39"
"selected_backend__ccle__plssvd__cpu__r3","selected_component_backend_panel","ccle","classification","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",17,547,71,1000,18,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.018,0.004,0.022,393.04296875,395.21484375,395.27734375,462.87109375,69.828125,"accuracy",0.647887323943662,0.647887323943662,0.395903154394287,NA,24516,71,"success","","","0.99.39"
"selected_backend__ccle__plssvd__cuda__r1","selected_component_backend_panel","ccle","classification","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",17,547,71,1000,18,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.331,0.00500000000000012,0.336,393.08984375,742.1875,742.91796875,810.50390625,417.4140625,"accuracy",0.647887323943662,0.647887323943662,0.395903154394287,NA,24516,71,"success","","","0.99.39"
"selected_backend__ccle__plssvd__cuda__r2","selected_component_backend_panel","ccle","classification","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",17,547,71,1000,18,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.275,0.00499999999999989,0.28,393.1171875,742.2265625,742.953125,810.546875,417.4296875,"accuracy",0.647887323943662,0.647887323943662,0.395903154394287,NA,24516,71,"success","","","0.99.39"
"selected_backend__ccle__plssvd__cuda__r3","selected_component_backend_panel","ccle","classification","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",17,547,71,1000,18,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.274,0.004,0.278,393.1015625,742.1328125,742.86328125,810.42578125,417.32421875,"accuracy",0.647887323943662,0.647887323943662,0.395903154394287,NA,24516,71,"success","","","0.99.39"
"selected_backend__ccle__simpls__cpu__r1","selected_component_backend_panel","ccle","classification","simpls","cpu","cpu","cpu_flash","rsvd","argmax","float64",26,547,71,1000,18,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.12,0.004,0.124,393.1484375,395.05859375,395.12109375,462.71875,69.5703125,"accuracy",0.71830985915493,0.71830985915493,0.404626414454984,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__simpls__cpu__r2","selected_component_backend_panel","ccle","classification","simpls","cpu","cpu","cpu_flash","rsvd","argmax","float64",26,547,71,1000,18,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.119,0.004,0.123,393.15234375,395.05859375,395.12109375,463.14453125,69.9921875,"accuracy",0.71830985915493,0.71830985915493,0.404626414454984,NA,23556,71,"success","","","0.99.39"
"selected_backend__ccle__simpls__cpu__r3","selected_component_backend_panel","ccle","classification","simpls","cpu","cpu","cpu_flash","rsvd","argmax","float64",26,547,71,1000,18,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.12,0.004,0.124,393.16015625,395.05859375,395.12109375,462.4609375,69.30078125,"accuracy",0.71830985915493,0.71830985915493,0.404626414454983,NA,23556,71,"success","","","0.99.39"
