"dataset","comparison_profile","implementation","repetitions_completed","median_process_peak_rss_mb","iqr_process_peak_rss_mb","median_prefit_process_rss_mb","iqr_prefit_process_rss_mb","median_baseline_corrected_peak_increment_mb","iqr_baseline_corrected_peak_increment_mb","median_final_process_rss_mb","median_fit_object_mb","median_coefficient_path_mb","median_score_outputs_mb","median_loading_outputs_mb","median_fitted_outputs_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb"
"tcga_pan_cancer","estimator_kernel","fastpls",30,557.142578125,0.40234375,425.3359375,0.0849609375,131.81640625,0.3544921875,489.5625,39.6932983398438,38.3913269042969,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"coefficient path (p x q x A)",38.39111328125
"ccle","complete_workflow","pls",50,489.04296875,0.404296875,397.84375,0.078125,91.20703125,0.361328125,421.38671875,8.46478271484375,3.64181518554688,0.144157409667969,0.268394470214844,1.98998260498047,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"fitted/residual response path (n_train x q x A each)",1.95309448242188
"cifar100","complete_workflow","pls",0,,,,,,,,,,,,,,,,,,,,,
"gtex_v8","complete_workflow","pls",15,1035.34765625,0.41796875,428.16015625,0.0859375,607.19140625,0.419921875,967.734375,337.743965148926,46.4862060546875,4.61312866210938,1.54648590087891,139.427124023438,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"fitted/residual response path (n_train x q x A each)",139.16015625
"metref","complete_workflow","pls",50,524.595703125,0.4404296875,395.341796875,0.09375,129.265625,0.4599609375,457.09375,40.4751129150391,7.46001434326172,0.751113891601562,0.368522644042969,15.367057800293,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"fitted/residual response path (n_train x q x A each)",15.3099670410156
"retina","complete_workflow","pls",30,732.619140625,0.2763671875,422.40234375,0.0810546875,310.2421875,0.3115234375,665.123046875,138.981544494629,0.143791198730469,6.49723052978516,0.0170135498046875,62.8996505737305,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"fitted/residual response path (n_train x q x A each)",61.5289306640625
"tabula","complete_workflow","pls",15,2488.265625,0.576171875,477.17578125,0.087890625,2011.0546875,0.5390625,2420.62109375,1129.27906036377,0.545967102050781,21.7790222167969,0.0232086181640625,542.553649902344,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"fitted/residual response path (n_train x q x A each)",537.5712890625
"tcga_brca","complete_workflow","pls",50,486.916015625,0.2314453125,399.541015625,0.0625,87.40625,0.26171875,419.240234375,1.27191162109375,0.330474853515625,0.0933990478515625,0.116691589355469,0.25506591796875,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"fitted/residual response path (n_train x q x A each)",0.201873779296875
"tcga_hnsc_methylation","complete_workflow","pls",50,473.978515625,0.3662109375,396.21484375,0.095703125,77.732421875,0.3779296875,406.353515625,0.413253784179688,0.078369140625,0.0444412231445312,0.066436767578125,0.0523834228515625,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"fitted/residual response path (n_train x q x A each)",0.015869140625
"tcga_pan_cancer","complete_workflow","pls",15,1006.0703125,0.248046875,425.3046875,0.095703125,580.68359375,0.3046875,938.36328125,321.41650390625,38.4594192504883,4.45293426513672,1.26482391357422,135.719879150391,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"fitted/residual response path (n_train x q x A each)",135.498046875
