"dataset","comparison_profile","implementation","timing_mode","cpu_profile","measurement_scope","requested_blas_threads","reported_blas_threads","loaded_blas_library","function_name","estimator","solver","output_contract","repetitions_attempted","repetitions_completed","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_preprocess_crosscov_sec","median_estimator_sec","median_coefficient_path_sec","median_fitted_values_sec","median_model_assembly_sec","median_cpp_total_sec","median_r_wrapper_fit_overhead_sec","median_accuracy","median_fit_object_mb","median_process_peak_rss_mb","iqr_process_peak_rss_mb","median_prefit_process_rss_mb","iqr_prefit_process_rss_mb","median_baseline_corrected_peak_increment_mb","iqr_baseline_corrected_peak_increment_mb","median_final_process_rss_mb","median_coefficient_path_mb","median_score_outputs_mb","median_loading_outputs_mb","median_fitted_outputs_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb","failures","failure_messages"
"gtex_v8","complete_workflow","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",30,30,1.78416931629181,0.0191454291343651,0.0617924928665161,0.00216251611709592,1.84557473659516,0.01975417137146,,,,,,,,0.963613550815558,1.86650085449219,614.3359375,0.9033203125,428.13671875,0.107421875,186.216796875,0.9072265625,546.8984375,0.244354248046875,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"final coefficient matrix (p x q)",0.244140625,0,"NA"
"metref","complete_workflow","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.117022275924683,0.001416265964508,0.00294935703277588,0.000218272209167483,0.12002420425415,0.0012960433959955,,,,,,,,0.97,0.502334594726562,479.376953125,0.4912109375,395.33203125,0.080078125,84.083984375,0.4091796875,411.876953125,0.0631561279296875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"final coefficient matrix (p x q)",0.0629425048828125,0,"NA"
"retina","complete_workflow","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.193706631660462,0.00294685363769498,0.0268105268478393,0.000515222549438546,0.220471024513245,0.00287491083145175,,,,,,,,0.967776488440596,0.05615234375,547.3125,1.974609375,422.365234375,0.1162109375,124.98046875,1.9423828125,479.74609375,0.004791259765625,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"final coefficient matrix (p x q)",0.00457763671875,0,"NA"
"tabula","complete_workflow","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",30,30,0.526570796966553,0.0048210024833677,0.100012421607971,0.00155025720596325,0.6264568567276,0.00649315118789728,,,,,,,,0.800435486126371,0.0925445556640625,695.271484375,11.4755859375,477.15625,0.544921875,218.146484375,12.04296875,627.943359375,0.012420654296875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"final coefficient matrix (p x q)",0.01220703125,0,"NA"
"tcga_brca","complete_workflow","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.0425915718078613,0.000531911849975607,0.00150024890899659,6.19888305664102e-05,0.0440994501113891,0.000581204891204848,,,,,,,,0.852272727272727,0.131263732910156,499.1171875,0.31640625,399.533203125,0.0830078125,99.556640625,0.3251953125,431.61328125,0.038360595703125,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"final coefficient matrix (p x q)",0.03814697265625,0,"NA"
"tcga_hnsc_methylation","complete_workflow","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.0241619348526001,0.0003701448440552,0.000908732414245605,2.92062759399419e-05,0.0250757932662963,0.000387430191040074,,,,,,,,1,0.0569686889648438,481.228515625,0.330078125,396.20703125,0.0927734375,85.02734375,0.2998046875,413.666015625,0.01214599609375,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"final coefficient matrix (p x q)",0.011932373046875,0,"NA"
"tcga_pan_cancer","complete_workflow","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",30,30,1.46518051624298,0.00629144906997481,0.0629274845123291,0.00106132030487061,1.52837920188903,0.00521385669708474,,,,,,,,0.940936863543788,1.57691955566406,598.322265625,1.29296875,425.3046875,0.0908203125,172.9765625,1.1904296875,530.751953125,0.207733154296875,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"final coefficient matrix (p x q)",0.20751953125,0,"NA"
"ccle","estimator_kernel","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0447590351104736,0.000603258609771742,0.00281918048858642,0.000153362751007082,0.047559380531311,0.000749707221984877,,,,,,,,0.71830985915493,3.80507659912109,472.015625,0.4443359375,397.83203125,0.0888671875,74.16015625,0.4482421875,404.50390625,3.57077026367188,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"coefficient path (p x q x A)",3.570556640625,0,"NA"
"cifar100","estimator_kernel","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",5,5,15.9546406269073,0.0233929157256991,16.1540439128876,0.075645685195898,32.1086845397949,0.0522527694702006,,,,,,,,0.8912,155.915725708008,1976.3671875,0.13671875,1906.82421875,0.0546875,69.48046875,0.08203125,1908.75390625,154.101776123047,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"coefficient path (p x q x A)",154.1015625,0,"NA"
"gtex_v8","estimator_kernel","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,1.10389912128448,0.0058864951133677,0.270457983016968,0.00711494684219349,1.37581825256348,0.00924736261367487,,,,,,,,0.963613550815558,47.9424591064453,575.1171875,0.6640625,428.1953125,0.0947265625,146.92578125,0.5966796875,499.802734375,46.3869323730469,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"coefficient path (p x q x A)",46.38671875,0,"NA"
