"dataset","comparison_profile","implementation","timing_mode","cpu_profile","measurement_scope","requested_blas_threads","reported_blas_threads","loaded_blas_library","function_name","estimator","solver","output_contract","repetitions_attempted","repetitions_completed","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_preprocess_crosscov_sec","median_estimator_sec","median_coefficient_path_sec","median_fitted_values_sec","median_model_assembly_sec","median_cpp_total_sec","median_r_wrapper_fit_overhead_sec","median_accuracy","median_fit_object_mb","median_process_peak_rss_mb","iqr_process_peak_rss_mb","median_prefit_process_rss_mb","iqr_prefit_process_rss_mb","median_baseline_corrected_peak_increment_mb","iqr_baseline_corrected_peak_increment_mb","median_final_process_rss_mb","median_coefficient_path_mb","median_score_outputs_mb","median_loading_outputs_mb","median_fitted_outputs_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb","failures","failure_messages"
"tcga_hnsc_methylation","estimator_kernel","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.00387358665466309,8.63075256347674e-05,0.000389575958251953,1.2934207916259e-05,0.00425755977630615,9.84072685241673e-05,,,,,,,,1,0.0601272583007812,466.10546875,0,398.19921875,0,67.90625,0,398.31640625,0.024078369140625,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"coefficient path (p x q x A)",0.02386474609375,0,"NA"
"tcga_pan_cancer","estimator_kernel","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,0.852901220321655,0.0686441659927369,0.30343222618103,0.00687098503112848,1.16515254974366,0.0686892867088251,,,,,,,,0.940936863543788,39.6932983398438,661.48828125,0,451.80078125,0,209.6875,0,582.671875,38.3913269042969,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"coefficient path (p x q x A)",38.39111328125,0,"NA"
"ccle","complete_workflow","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",50,50,0.0442869663238525,0.00556856393814082,0.00101613998413086,0.000120997428894041,0.0452877283096313,0.00561708211898808,,,,,,,,0.71830985915493,8.46478271484375,553.02734375,0,404.2890625,0,148.73828125,0,485.125,3.64181518554688,0.144157409667969,0.268394470214844,1.98998260498047,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"fitted/residual response path (n_train x q x A each)",1.95309448242188,0,"NA"
"cifar100","complete_workflow","pls","steady_process_batch","reference_1","primary",,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"failed_process_137"
"gtex_v8","complete_workflow","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",20,20,2.74198377132416,0.0345673561096205,0.0132274627685547,0.000383019447326676,2.75520491600036,0.0348237752914424,,,,,,,,0.963613550815558,337.743965148926,1897.20703125,0,472.22265625,0,1424.984375,0,1622.890625,46.4862060546875,4.61312866210938,1.54648590087891,139.427124023438,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"fitted/residual response path (n_train x q x A each)",139.16015625,0,"NA"
"metref","complete_workflow","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",50,50,0.256200790405273,0.00351417064666748,0.000659704208374023,8.32676887512208e-05,0.256835222244263,0.00345426797866871,,,,,,,,0.97,40.4751129150391,600.50390625,0,401.56640625,0,198.9375,0,532.734375,7.46001434326172,0.751113891601562,0.368522644042969,15.367057800293,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"fitted/residual response path (n_train x q x A each)",15.3099670410156,0,"NA"
"retina","complete_workflow","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",30,30,0.349778413772583,0.016919672489166,0.0124537944793702,0.0006252527236939,0.362316727638245,0.0167083144187924,,,,,,,,0.967776488440596,138.981544494629,999.35546875,0,436.91015625,0,562.4453125,0,860.6328125,0.143791198730469,6.49723052978516,0.0170135498046875,62.8996505737305,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"fitted/residual response path (n_train x q x A each)",61.5289306640625,0,"NA"
"tabula","complete_workflow","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",20,20,2.2884019613266,0.0838216543197676,0.0626212358474731,0.00185495615005497,2.35027515888214,0.0958186984062226,,,,,,,,0.800435486126371,1129.27906036377,5113.2109375,0,478.90234375,0,4634.30859375,0,3701.30859375,0.545967102050781,21.7790222167969,0.0232086181640625,542.553649902344,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"fitted/residual response path (n_train x q x A each)",537.5712890625,0,"NA"
"tcga_brca","complete_workflow","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",50,50,0.0185234546661377,0.0016305446624756,0.000647425651550293,5.23924827575681e-05,0.0191764831542969,0.00177049636840823,,,,,,,,0.852272727272727,1.27191162109375,520.1171875,0,401.90234375,0,118.21484375,0,452.46875,0.330474853515625,0.0933990478515625,0.116691589355469,0.25506591796875,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"fitted/residual response path (n_train x q x A each)",0.201873779296875,0,"NA"
"tcga_hnsc_methylation","complete_workflow","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",50,50,0.00531506538391113,0.00182133913040161,0.00030219554901123,3.02791595458985e-05,0.00569641590118408,0.00180310010910034,,,,,,,,1,0.413253784179688,503.109375,0,396.953125,0,106.15625,0,435.55859375,0.078369140625,0.0444412231445312,0.066436767578125,0.0523834228515625,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"fitted/residual response path (n_train x q x A each)",0.015869140625,0,"NA"
"tcga_pan_cancer","complete_workflow","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",20,20,2.38976097106934,0.0398927927017176,0.0143822431564332,0.000597059726715128,2.40413510799408,0.0397607684135504,,,,,,,,0.940936863543788,321.41650390625,1960.01953125,0,426.39453125,0,1533.625,0,1689.8671875,38.4594192504883,4.45293426513672,1.26482391357422,135.719879150391,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"fitted/residual response path (n_train x q x A each)",135.498046875,0,"NA"
"ccle","estimator_kernel","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0381946563720703,0.00305664539337158,0.00102996826171875,6.92605972290056e-05,0.0397186279296875,0.00291925668716426,,,,,,,,0.71830985915493,3.57905578613281,515.828125,0,405.81640625,0,110.01171875,0,448.31640625,3.57077026367188,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"coefficient path (p x q x A)",3.570556640625,0,"NA"
"cifar100","estimator_kernel","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",10,10,26.6691595315934,0.115547001361904,0.543945670127869,0.010116040706635,27.2089178562164,0.119287908077279,,,,,,,,0.8912,154.108917236328,2937.16796875,0,1904.45703125,0,1032.7109375,0,2287.78515625,154.101776123047,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"coefficient path (p x q x A)",154.1015625,0,"NA"
"gtex_v8","estimator_kernel","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,1.5382308959961,0.01296979188919,0.0133265256881714,0.000464498996734624,1.55127191543579,0.0133976340293902,,,,,,,,0.963613550815558,46.3953247070312,760.421875,0,468.4140625,0,292.0078125,0,692.31640625,46.3869323730469,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"coefficient path (p x q x A)",46.38671875,0,"NA"
"metref","estimator_kernel","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.107126235961914,0.005123496055603,0.000686049461364746,5.10215759277346e-05,0.107847094535827,0.00503611564636226,,,,,,,,0.97,7.43097686767578,541.98046875,0,396.58203125,0,145.3984375,0,474.2421875,7.42742919921875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"coefficient path (p x q x A)",7.42721557617188,0,"NA"
"retina","estimator_kernel","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0761564970016479,0.00727981328964239,0.0139120817184448,0.003523051738739,0.090941309928894,0.007013201713562,,,,,,,,0.967776488440596,0.138565063476562,602.45703125,0,423.63671875,0,178.8203125,0,534.796875,0.137542724609375,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"coefficient path (p x q x A)",0.1373291015625,0,"NA"
"tabula","estimator_kernel","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,0.359369874000549,0.0740983486175538,0.0660673379898072,0.00548517704010003,0.432132840156555,0.0707083940505977,,,,,,,,0.800435486126371,0.538467407226562,811.18359375,0,503.875,0,307.30859375,0,744.0625,0.537322998046875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"coefficient path (p x q x A)",0.537109375,0,"NA"
"tcga_brca","estimator_kernel","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0159885883331299,0.00257098674774173,0.000627040863037109,3.9458274841309e-05,0.0166341066360473,0.00258862972259517,,,,,,,,0.852272727272727,0.275436401367188,515.58203125,0,401.9609375,0,113.62109375,0,448.10546875,0.267242431640625,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"coefficient path (p x q x A)",0.26702880859375,0,"NA"
"tcga_hnsc_methylation","estimator_kernel","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.00453174114227295,0.00149798393249512,0.00027167797088623,2.3365020751953e-05,0.00481009483337403,0.00150322914123535,,,,,,,,1,0.03057861328125,495.33984375,0,396.97265625,0,98.3671875,0,427.08984375,0.024078369140625,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"coefficient path (p x q x A)",0.02386474609375,0,"NA"
"tcga_pan_cancer","estimator_kernel","pls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,1.2053769826889,0.0690580010414172,0.0143729448318481,0.000739812850952173,1.21976399421692,0.0685939192771898,,,,,,,,0.940936863543788,38.3985748291016,763.12109375,0,462.23046875,0,300.890625,0,691.19140625,38.3913269042969,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"coefficient path (p x q x A)",38.39111328125,0,"NA"
