"run_id","scenario_id","factor_name","design_partition","factor_value","task_type","n_train","n_test","p","q","latent_rank","class_count","max_ncomp","requested_prefixes","route","backend","svd_method","xprod","requested_oversample","requested_power","replicate","reference"
"09_p_500__cuda_rsvd_auto__rep1","09_p_500","p","one_factor",500,"regression",2000,400,500,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"09_p_500__cpu_irlba_explicit__rep2","09_p_500","p","one_factor",500,"regression",2000,400,500,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"09_p_500__cuda_rsvd_auto__rep2","09_p_500","p","one_factor",500,"regression",2000,400,500,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"09_p_500__cpu_irlba_explicit__rep3","09_p_500","p","one_factor",500,"regression",2000,400,500,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"09_p_500__cuda_rsvd_auto__rep3","09_p_500","p","one_factor",500,"regression",2000,400,500,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"10_p_1000__cpu_irlba_explicit__rep1","10_p_1000","p","one_factor",1000,"regression",2000,400,1000,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"10_p_1000__cuda_rsvd_auto__rep1","10_p_1000","p","one_factor",1000,"regression",2000,400,1000,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"10_p_1000__cpu_irlba_explicit__rep2","10_p_1000","p","one_factor",1000,"regression",2000,400,1000,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"10_p_1000__cuda_rsvd_auto__rep2","10_p_1000","p","one_factor",1000,"regression",2000,400,1000,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"10_p_1000__cpu_irlba_explicit__rep3","10_p_1000","p","one_factor",1000,"regression",2000,400,1000,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"10_p_1000__cuda_rsvd_auto__rep3","10_p_1000","p","one_factor",1000,"regression",2000,400,1000,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"11_p_2000__cpu_irlba_explicit__rep1","11_p_2000","p","one_factor",2000,"regression",2000,400,2000,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"11_p_2000__cuda_rsvd_auto__rep1","11_p_2000","p","one_factor",2000,"regression",2000,400,2000,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"11_p_2000__cpu_irlba_explicit__rep2","11_p_2000","p","one_factor",2000,"regression",2000,400,2000,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"11_p_2000__cuda_rsvd_auto__rep2","11_p_2000","p","one_factor",2000,"regression",2000,400,2000,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"11_p_2000__cpu_irlba_explicit__rep3","11_p_2000","p","one_factor",2000,"regression",2000,400,2000,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"11_p_2000__cuda_rsvd_auto__rep3","11_p_2000","p","one_factor",2000,"regression",2000,400,2000,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"12_q_10__cpu_irlba_explicit__rep1","12_q_10","q","one_factor",10,"regression",2000,400,400,10,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"12_q_10__cuda_rsvd_auto__rep1","12_q_10","q","one_factor",10,"regression",2000,400,400,10,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"12_q_10__cpu_irlba_explicit__rep2","12_q_10","q","one_factor",10,"regression",2000,400,400,10,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"12_q_10__cuda_rsvd_auto__rep2","12_q_10","q","one_factor",10,"regression",2000,400,400,10,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"12_q_10__cpu_irlba_explicit__rep3","12_q_10","q","one_factor",10,"regression",2000,400,400,10,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"12_q_10__cuda_rsvd_auto__rep3","12_q_10","q","one_factor",10,"regression",2000,400,400,10,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"13_q_25__cpu_irlba_explicit__rep1","13_q_25","q","one_factor",25,"regression",2000,400,400,25,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"13_q_25__cuda_rsvd_auto__rep1","13_q_25","q","one_factor",25,"regression",2000,400,400,25,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"13_q_25__cpu_irlba_explicit__rep2","13_q_25","q","one_factor",25,"regression",2000,400,400,25,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"13_q_25__cuda_rsvd_auto__rep2","13_q_25","q","one_factor",25,"regression",2000,400,400,25,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"13_q_25__cpu_irlba_explicit__rep3","13_q_25","q","one_factor",25,"regression",2000,400,400,25,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"13_q_25__cuda_rsvd_auto__rep3","13_q_25","q","one_factor",25,"regression",2000,400,400,25,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"14_q_50__cpu_irlba_explicit__rep1","14_q_50","q","one_factor",50,"regression",2000,400,400,50,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"14_q_50__cuda_rsvd_auto__rep1","14_q_50","q","one_factor",50,"regression",2000,400,400,50,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"14_q_50__cpu_irlba_explicit__rep2","14_q_50","q","one_factor",50,"regression",2000,400,400,50,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
