"family","case","component","fold","fast_metric","reference_metric","status","error"
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",1,1,1.59653850970738,1.59653850970738,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",1,2,2.0079231955571,2.0079231955571,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",1,3,1.6766097502761,1.6766097502761,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",1,4,1.75572264489263,1.75572264489263,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",1,5,2.21856886739071,2.21856886739071,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",2,1,1.35702173927005,1.35702173927005,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",2,2,1.69465499535361,1.69465499535361,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",2,3,1.44525996255759,1.44525996255759,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",2,4,1.28378134268077,1.28378134268077,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",2,5,1.69988059706207,1.69988059706208,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",3,1,0.938157649072796,0.938157649072796,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",3,2,1.29367689594073,1.29367689594074,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",3,3,1.02672122289896,1.02672122289896,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",3,4,0.974613255548899,0.974613255548899,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",3,5,1.15390937753367,1.15390937753368,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",4,1,0.909063100261861,0.909063100261861,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",4,2,1.05672835963914,1.05672835963914,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",4,3,0.961611136322021,0.961611136322022,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",4,4,0.913908196488963,0.913908196488963,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",4,5,1.04042287697941,1.04042287697942,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",5,1,0.90619726848657,0.906197268485998,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",5,2,1.05710138324173,1.05710138324178,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",5,3,0.958329668314339,0.95832966831433,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",5,4,0.909968422236333,0.909968422236338,"success",NA
"OPLS","synthetic_regression_p_gt_n_ill_conditioned",5,5,1.03834595685944,1.03834595685979,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",1,1,1.95899156549517,1.95899156549517,"success",NA
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned",1,2,2.11656365472992,2.11656365472992,"success",NA
