"dataset","task_type","dataset_path","split_seed","n_train","n_test","p","n_response","input_precision","execution_precision","classifier","classifier_backend","classifier_numeric_path","input_storage_mb","ncomp_requested","replicate","method_id","package","package_version","function_name","algorithm","requested_estimator","executed_estimator","independent_implementation","total_runtime_ms","metric_name","metric_value","accuracy","balanced_accuracy","macro_f1","rmse","q2","mae","status","warning_message","error_message","peak_host_rss_mb","user_cpu_sec","system_cpu_sec","process_status"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","lda","cpp_project","float64",4.89482116699219,26,4,"fastPLS_simpls_cpu_irlba_lda","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='lda')","SIMPLS + LDA","simpls","simpls",TRUE,54.9999999999999,"accuracy",0.774647887323944,0.774647887323944,0.685582010582011,0.705659772326439,,,,"ok",,,464.167969,1,0.13,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","lda","cpp_project","float64",4.89482116699219,26,5,"fastPLS_simpls_cpu_irlba_lda","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='lda')","SIMPLS + LDA","simpls","simpls",TRUE,54,"accuracy",0.774647887323944,0.774647887323944,0.685582010582011,0.705659772326439,,,,"ok",,,463.710938,1.03,0.11,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","lda","cpp_project","float64",4.89482116699219,26,6,"fastPLS_simpls_cpu_irlba_lda","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='lda')","SIMPLS + LDA","simpls","simpls",TRUE,56,"accuracy",0.774647887323944,0.774647887323944,0.685582010582011,0.705659772326439,,,,"ok",,,463.429688,1.04,0.1,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","lda","cpp_project","float64",4.89482116699219,26,7,"fastPLS_simpls_cpu_irlba_lda","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='lda')","SIMPLS + LDA","simpls","simpls",TRUE,55.9999999999998,"accuracy",0.774647887323944,0.774647887323944,0.685582010582011,0.705659772326439,,,,"ok",,,463.261719,1.04,0.11,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","lda","cpp_project","float64",4.89482116699219,26,8,"fastPLS_simpls_cpu_irlba_lda","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='lda')","SIMPLS + LDA","simpls","simpls",TRUE,54.9999999999999,"accuracy",0.774647887323944,0.774647887323944,0.685582010582011,0.705659772326439,,,,"ok",,,463.664062,1.04,0.12,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","lda","cpp_project","float64",4.89482116699219,26,9,"fastPLS_simpls_cpu_irlba_lda","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='lda')","SIMPLS + LDA","simpls","simpls",TRUE,54,"accuracy",0.774647887323944,0.774647887323944,0.685582010582011,0.705659772326439,,,,"ok",,,463.441406,1.02,0.12,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","lda","cpp_project","float64",4.89482116699219,26,10,"fastPLS_simpls_cpu_irlba_lda","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='lda')","SIMPLS + LDA","simpls","simpls",TRUE,55.0000000000002,"accuracy",0.774647887323944,0.774647887323944,0.685582010582011,0.705659772326439,,,,"ok",,,463.546875,1.04,0.1,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mdatools","float64",4.89482116699219,26,1,"mdatools_plsda_or_pls","mdatools","0.15.0","mdatools::plsda or mdatools::pls","SIMPLS/PLS-DA","SIMPLS/PLS-DA","SIMPLS/PLS-DA",TRUE,738,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok","No validation results were found.",,206,1.41,0.08,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mdatools","float64",4.89482116699219,26,2,"mdatools_plsda_or_pls","mdatools","0.15.0","mdatools::plsda or mdatools::pls","SIMPLS/PLS-DA","SIMPLS/PLS-DA","SIMPLS/PLS-DA",TRUE,738,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok","No validation results were found.",,206.4375,1.42,0.1,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","mdatools","float64",4.89482116699219,26,3,"mdatools_plsda_or_pls","mdatools","0.15.0","mdatools::plsda or mdatools::pls","SIMPLS/PLS-DA","SIMPLS/PLS-DA","SIMPLS/PLS-DA",TRUE,741,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok","No validation results were found.",,206.175781,1.42,0.09,"ok"
