"dataset","task_type","method_id","package","algorithm","ncomp_requested","input_precision","execution_precision","classifier","classifier_backend","classifier_numeric_path","requested_estimator","executed_estimator","reps_ok","median_time_ms","iqr_time_ms","median_peak_host_rss_mb","iqr_peak_host_rss_mb","median_metric","iqr_metric","metric_name","median_accuracy","median_balanced_accuracy","median_macro_f1","median_rmse","median_q2"
"tabula","classification","plsdepot_simpls","plsdepot","SIMPLS",44,"float64","float64","argmax","plsdepot","float64","simpls","simpls",3,4775,13,472.949219,0.0253905000000145,0.783395593200024,0,"accuracy",0.783395593200024,0.588469665124499,0.57315823274054,,
"tcga_brca","classification","plsdepot_simpls","plsdepot","SIMPLS",7,"float64","float64","argmax","plsdepot","float64","simpls","simpls",3,2204,17,165.605469,0.166016000000013,0.875,0,"accuracy",0.875,0.674983388704319,0.6892227127711,,
"tcga_hnsc_methylation","classification","plsdepot_simpls","plsdepot","SIMPLS",2,"float64","float64","argmax","plsdepot","float64","simpls","simpls",10,553.5,4.5,134.0234375,0.214843500000001,1,0,"accuracy",1,1,1,,
"tcga_pan_cancer","classification","plsdepot_simpls","plsdepot","SIMPLS",185,"float64","float64","argmax","plsdepot","float64","simpls","simpls",3,33926,178.5,332.945312,0.4140625,0.884928716904277,0,"accuracy",0.884928716904277,0.820593105845483,0.799351125393256,,
"ccle","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",26,"float64","float64","lda","plsgenomics","float64","PLS-LDA","PLS-LDA",10,63.9999999999999,1.4210854715202e-13,163.4492185,0.395507499999979,0.774647887323944,0,"accuracy",0.774647887323944,0.685582010582011,0.705659772326439,,
"cifar100","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",263,"float64","float64","lda","plsgenomics","float64","PLS-LDA","PLS-LDA",3,51221,103.5,1994.398438,0.296875,0.8847,0,"accuracy",0.8847,0.8847,0.888974693902574,,
"gtex_v8","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",190,"float64","float64","lda","plsgenomics","float64","PLS-LDA","PLS-LDA",3,2261,0,224.851562,0.521484500000014,0.969887076537014,0,"accuracy",0.969887076537014,0.867805915711538,0.87156122383465,,
"metref","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",118,"float64","float64","lda","plsgenomics","float64","PLS-LDA","PLS-LDA",10,193,1.75,171.7539065,0.187499750000001,0.99,0,"accuracy",0.99,0.988636363636364,0.988455988455988,,
"retina","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",30,"float64","float64","lda","plsgenomics","float64","PLS-LDA","PLS-LDA",10,450,3.25,242.482422,0.236327499999987,0.969115415513702,0,"accuracy",0.969115415513702,0.909706872612551,0.936189749405791,,
"tabula","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",44,"float64","float64","lda","plsgenomics","float64","PLS-LDA","PLS-LDA",3,1773,5.5,420.410156,0.0703125,0.874528056892866,0,"accuracy",0.874528056892866,0.812762740967671,0.808052487455842,,
"tcga_brca","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",7,"float64","float64","lda","plsgenomics","float64","PLS-LDA","PLS-LDA",10,24,0.75,145.396484,0.240234499999985,0.863636363636364,0,"accuracy",0.863636363636364,0.876965669988926,0.846635282295501,,
"tcga_hnsc_methylation","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",2,"float64","float64","lda","plsgenomics","float64","PLS-LDA","PLS-LDA",10,11,1,132.5371095,0.600585999999993,0.982758620689655,0,"accuracy",0.982758620689655,0.990566037735849,0.94978354978355,,
"tcga_pan_cancer","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",185,"float64","float64","lda","plsgenomics","float64","PLS-LDA","PLS-LDA",3,1912,12.5,260.394531,0.263672000000042,0.934826883910387,0,"accuracy",0.934826883910387,0.915076535238949,0.908787422146443,,
"ccle","classification","spls_splsda","spls","sPLS-DA",26,"float64","float64","argmax","spls","float64","sPLS-DA","sPLS-DA",10,992,6,160.5019535,0.28515625,0.690140845070423,0,"accuracy",0.690140845070423,0.61957671957672,0.61711860670194,,
"gtex_v8","classification","spls_splsda","spls","sPLS-DA",190,"float64","float64","argmax","spls","float64","sPLS-DA","sPLS-DA",3,147152,34,1601.519531,0.298828500000127,0.973651191969887,0,"accuracy",0.973651191969887,0.870970372782245,0.874443010606482,,
"metref","classification","spls_splsda","spls","sPLS-DA",118,"float64","float64","argmax","spls","float64","sPLS-DA","sPLS-DA",3,9150,10.5,245.496094,0.113281000000001,0.98,0,"accuracy",0.98,0.982142857142857,0.981462981462981,,
"retina","classification","spls_splsda","spls","sPLS-DA",30,"float64","float64","argmax","spls","float64","sPLS-DA","sPLS-DA",3,5368,21,673.898438,0.121093499999915,0.968802999196644,0,"accuracy",0.968802999196644,0.907427506651623,0.935863258710746,,
"tabula","classification","spls_splsda","spls","sPLS-DA",44,"float64","float64","argmax","spls","float64","sPLS-DA","sPLS-DA",3,52376,82,4047.390625,0.144530999999915,0.871651451287481,0,"accuracy",0.871651451287481,0.81147935144343,0.806762929108388,,
"tcga_brca","classification","spls_splsda","spls","sPLS-DA",7,"float64","float64","argmax","spls","float64","sPLS-DA","sPLS-DA",10,201,6.75,148.6953125,0.0761712500000158,0.840909090909091,0,"accuracy",0.840909090909091,0.803776301218162,0.790474986637389,,
"tcga_hnsc_methylation","classification","spls_splsda","spls","sPLS-DA",2,"float64","float64","argmax","spls","float64","sPLS-DA","sPLS-DA",10,25,0.75,126.8398435,0.171875500000013,0.948275862068966,0,"accuracy",0.948275862068966,0.881132075471698,0.849350649350649,,
"tcga_pan_cancer","classification","spls_splsda","spls","sPLS-DA",185,"float64","float64","argmax","spls","float64","sPLS-DA","sPLS-DA",3,115062,268.5,1365.996094,0.296875,0.918533604887984,0,"accuracy",0.918533604887984,0.90037898664893,0.895306949629529,,
