"method_id","dataset","task_type","package","algorithm","ncomp_requested","input_precision","execution_precision","classifier","classifier_backend","classifier_numeric_path","requested_estimator","executed_estimator","reps_ok","median_time_ms","iqr_time_ms","median_peak_host_rss_mb","iqr_peak_host_rss_mb","median_metric","iqr_metric","metric_name","median_accuracy","median_balanced_accuracy","median_macro_f1","median_rmse","median_q2","reps_attempted","reps_ok_status","n_timeout","n_error","n_skipped","method_label","dataset_label","status_label","time_sec","accuracy_label","time_label","rss_label"
"mdatools_plsda_or_pls","gtex_v8","classification","mdatools","SIMPLS/PLS-DA",190,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,25186,76.5,1344.328125,0.1640625,0.963613550815558,0,"accuracy",0.963613550815558,0.823156168906619,0.829612729932731,NA,NA,3,3,0,0,0,"mdatools / PLS-DA","GTEx v8","",25.186,"0.964","25","1344"
"mdatools_plsda_or_pls","metref","classification","mdatools","SIMPLS/PLS-DA",118,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,1450,23,285.09375,0.244140500000071,0.97,0,"accuracy",0.97,0.972727272727273,0.973096348096348,NA,NA,3,3,0,0,0,"mdatools / PLS-DA","MetRef","",1.45,"0.970","1.45","285"
"mdatools_plsda_or_pls","retina","classification","mdatools","SIMPLS/PLS-DA",30,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,3274,16.5,841.105469,0.316406499999971,0.967776488440596,0,"accuracy",0.967776488440596,0.901549874457733,0.933160842295358,NA,NA,3,3,0,0,0,"mdatools / PLS-DA","Retina","",3.274,"0.968","3.27","841"
"mdatools_plsda_or_pls","tabula","classification","mdatools","SIMPLS/PLS-DA",44,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,20260,51,5601.339844,0.09375,0.800435486126371,0,"accuracy",0.800435486126371,0.598654992864988,0.58682068731277,NA,NA,3,3,0,0,0,"mdatools / PLS-DA","Tabula Muris","",20.26,"0.800","20","5601"
"mdatools_plsda_or_pls","tcga_brca","classification","mdatools","SIMPLS/PLS-DA",7,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",10,432,2.75,202.59375,0.215820000000008,0.852272727272727,0,"accuracy",0.852272727272727,0.680919158361019,0.669563167418508,NA,NA,10,10,0,0,0,"mdatools / PLS-DA","TCGA-BRCA","",0.432,"0.852","0.43","203"
"mdatools_plsda_or_pls","tcga_hnsc_methylation","classification","mdatools","SIMPLS/PLS-DA",2,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",10,142.5,1,166.578125,0.189452249999988,1,0,"accuracy",1,1,1,NA,NA,10,10,0,0,0,"mdatools / PLS-DA","TCGA-HNSC methyl.","",0.1425,"1.000","0.14","167"
"mdatools_plsda_or_pls","tcga_pan_cancer","classification","mdatools","SIMPLS/PLS-DA",185,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,21035,52.5,1326.222656,1.796875,0.940936863543788,0,"accuracy",0.940936863543788,0.90513809166767,0.902001623474065,NA,NA,3,3,0,0,0,"mdatools / PLS-DA","TCGA Pan-Cancer","",21.035,"0.941","21","1326"
"mixOmics_plsda","ccle","classification","mixOmics","PLS-DA",26,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",3,1031,5,356.875,0.197265499999958,0.71830985915493,0,"accuracy",0.71830985915493,0.576322751322751,0.572619047619048,NA,NA,3,3,0,0,0,"mixOmics / PLS-DA","CCLE","",1.031,"0.718","1.03","357"
"mixOmics_plsda","cifar100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,2,"mixOmics / PLS-DA","CIFAR-100","TO",NA,"","",""
"mixOmics_plsda","gtex_v8","classification","mixOmics","PLS-DA",190,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",3,3341605,5576.5,845.917969,0.308593500000029,0.963613550815558,0,"accuracy",0.963613550815558,0.823156168906619,0.8296355966322,NA,NA,3,3,0,0,0,"mixOmics / PLS-DA","GTEx v8","",3341.605,"0.964","3342","846"
"mixOmics_plsda","metref","classification","mixOmics","PLS-DA",118,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",3,34979,57.5,417.445312,0.550781499999971,0.97,0,"accuracy",0.97,0.972727272727273,0.973096348096348,NA,NA,3,3,0,0,0,"mixOmics / PLS-DA","MetRef","",34.979,"0.970","35","417"
"mixOmics_plsda","retina","classification","mixOmics","PLS-DA",30,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",3,4970603,19486.5,852.316406,1.15429699999993,0.967776488440596,0,"accuracy",0.967776488440596,0.901549874457733,0.933160842295358,NA,NA,3,3,0,0,0,"mixOmics / PLS-DA","Retina","",4970.603,"0.968","4971","852"
"mixOmics_plsda","tabula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,2,"mixOmics / PLS-DA","Tabula Muris","TO",NA,"","",""
"mixOmics_plsda","tcga_brca","classification","mixOmics","PLS-DA",7,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",10,287,1.75,301.095703,0.308593250000001,0.852272727272727,0,"accuracy",0.852272727272727,0.675570321151717,0.668317123489537,NA,NA,10,10,0,0,0,"mixOmics / PLS-DA","TCGA-BRCA","",0.287,"0.852","0.29","301"
"mixOmics_plsda","tcga_hnsc_methylation","classification","mixOmics","PLS-DA",2,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",10,34.9999999999999,1.75000000000003,277.648437,0.125000250000028,1,0,"accuracy",1,1,1,NA,NA,10,10,0,0,0,"mixOmics / PLS-DA","TCGA-HNSC methyl.","",0.0349999999999999,"1.000","0.03","278"
"mixOmics_plsda","tcga_pan_cancer","classification","mixOmics","PLS-DA",185,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",3,3820241,8392,845.882812,8.5703125,0.940936863543788,0,"accuracy",0.940936863543788,0.905037447545287,0.903109584901054,NA,NA,3,3,0,0,0,"mixOmics / PLS-DA","TCGA Pan-Cancer","",3820.241,"0.941","3820","846"
"pcv_simpls","ccle","classification","pcv","SIMPLS",26,"float64","float64","argmax","pcv","float64","simpls","simpls",10,254.5,2,147.669922,0.33203125,0.71830985915493,0,"accuracy",0.71830985915493,0.59021164021164,0.602765752765753,NA,NA,10,10,0,0,0,"pcv / SIMPLS","CCLE","",0.2545,"0.718","0.25","148"
"pcv_simpls","cifar100","classification","pcv","SIMPLS",263,"float64","float64","argmax","pcv","float64","simpls","simpls",3,48096,133.5,1591,0.029296499999873,0.8912,0,"accuracy",0.8912,0.8912,0.88985913883586,NA,NA,3,3,0,0,0,"pcv / SIMPLS","CIFAR-100","",48.096,"0.891","48","1591"
"pcv_simpls","gtex_v8","classification","pcv","SIMPLS",190,"float64","float64","argmax","pcv","float64","simpls","simpls",3,2975,4.5,236.972656,0.201172000000014,0.963613550815558,0,"accuracy",0.963613550815558,0.823156168906619,0.829612729932731,NA,NA,3,3,0,0,0,"pcv / SIMPLS","GTEx v8","",2.975,"0.964","2.98","237"
"pcv_simpls","metref","classification","pcv","SIMPLS",118,"float64","float64","argmax","pcv","float64","simpls","simpls",10,195,1.5,142.5976565,0.308593500000029,0.97,0,"accuracy",0.97,0.972727272727273,0.973096348096348,NA,NA,10,10,0,0,0,"pcv / SIMPLS","MetRef","",0.195,"0.970","0.20","143"
