"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","n_train","n_test","p","q","response_rank","ncomp","coefficient_identifiable","fastpls_elapsed_sec","reference_elapsed_sec","prediction_correlation","prediction_relative_error","prediction_max_absolute_error","coefficient_relative_error","score_subspace_max_angle_degrees","projection_subspace_max_angle_degrees","loading_subspace_max_angle_degrees","fastpls_metric","reference_metric","metric_absolute_difference","classification_label_agreement","deterministic_tolerance_pass","approximation_tolerance_pass","status","error_message"
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,120,60,300,12,11,10,FALSE,0.0100000000000016,0.00199999999999889,1,3.74093471923584e-12,4.69140698511339e-12,5.79697415511417e-12,1.20741826972573e-06,0,2.09130978915187e-06,0.95,0.95,0,1,TRUE,NA,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"irlba",NA,NA,NA,180,60,120,6,5,1,TRUE,0.00700000000000145,0.000999999999997669,1,6.28977338038278e-16,4.44089209850063e-16,1.07025026313482e-15,0,0,0,0.2,0.2,0,1,TRUE,NA,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"irlba",NA,NA,NA,180,60,120,6,5,2,TRUE,0.00700000000000145,0.000999999999997669,1,3.34044171806933e-16,2.77555756156289e-16,4.73827930124562e-16,0,8.53773646251594e-07,0,0.6,0.6,0,1,TRUE,NA,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"irlba",NA,NA,NA,180,60,120,6,5,3,TRUE,0.00700000000000145,0.000999999999997669,1,5.3943351169025e-16,4.71844785465692e-16,8.2553197318871e-16,0,0,0,0.566666666666667,0.566666666666667,0,1,TRUE,NA,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"irlba",NA,NA,NA,180,60,120,6,5,4,TRUE,0.00700000000000145,0.000999999999997669,1,3.184162774571e-13,3.19855253394508e-13,6.92060768950675e-13,8.53773646251594e-07,0,0,0.566666666666667,0.566666666666667,0,1,TRUE,NA,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"irlba",NA,NA,NA,180,60,120,6,5,5,TRUE,0.00700000000000145,0.000999999999997669,0.999999999999999,6.70268655683797e-13,6.45816733424454e-13,1.18089946727091e-12,0,8.53773646251594e-07,1.20741826972573e-06,0.5,0.5,0,1,TRUE,NA,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",202,"irlba",NA,NA,NA,240,80,40,5,5,2,TRUE,0.00600000000000023,0.000999999999997669,1,3.45252466985599e-16,2.66453525910038e-15,4.1845410724388e-16,1.70754729250319e-06,8.53773646251594e-07,0,0.533641813681024,0.533641813681024,1.11022302462516e-16,NA,TRUE,NA,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",202,"irlba",NA,NA,NA,240,80,40,5,5,5,TRUE,0.00600000000000023,0.000999999999997669,1,1.28482654947756e-10,8.36822167116225e-10,1.17318348245393e-08,0,1.4787793334711e-06,8.53773646251594e-07,0.0580564579934246,0.0580564579939085,4.83925399752394e-13,NA,TRUE,NA,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",202,"irlba",NA,NA,NA,240,80,40,5,5,7,TRUE,0.00600000000000023,0.000999999999997669,0.999999999999999,2.92772172286138e-10,2.43983944159254e-09,2.25202137972728e-08,1.4787793334711e-06,8.53773646251594e-07,8.53773646251594e-07,0.0592671976038626,0.05926719756341,4.04525232755581e-11,NA,TRUE,NA,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",202,"irlba",NA,NA,NA,240,80,40,5,5,10,TRUE,0.00600000000000023,0.000999999999997669,1,6.79874258295286e-10,4.05814759574241e-09,4.55756482164398e-08,0,1.4787793334711e-06,8.53773646251594e-07,0.0603874630087897,0.060387462986219,2.25707161294331e-11,NA,TRUE,NA,"ok",""
