"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","n_train","n_test","p","q","response_rank","ncomp","coefficient_identifiable","fastpls_elapsed_sec","reference_elapsed_sec","prediction_correlation","prediction_relative_error","prediction_max_absolute_error","coefficient_relative_error","score_subspace_max_angle_degrees","projection_subspace_max_angle_degrees","loading_subspace_max_angle_degrees","fastpls_metric","reference_metric","metric_absolute_difference","classification_label_agreement","deterministic_tolerance_pass","approximation_tolerance_pass","status","error_message"
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,80,40,300,6,6,5,FALSE,0.00600000000000023,0.00200000000000067,1,6.28955914045002e-11,4.5007908511252e-10,9.25687914275661e-09,8.53773646251594e-07,1.70754729250319e-06,1.4787793334711e-06,0.0547282607291638,0.054728260728975,1.88765669761892e-13,NA,NA,TRUE,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,80,40,300,6,6,7,FALSE,0.00600000000000023,0.00200000000000067,0.999999999999999,2.87539008835536e-10,2.78968670386348e-09,2.65807979415712e-08,8.53773646251594e-07,2.25887274392255e-06,1.4787793334711e-06,0.0547387976707496,0.0547387976379691,3.27804935973397e-11,NA,NA,TRUE,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,80,40,300,6,6,10,FALSE,0.00600000000000023,0.00200000000000067,1,6.85950859357162e-10,6.27077323400727e-09,6.15899186445237e-08,1.20741826972573e-06,2.09130978915187e-06,1.4787793334711e-06,0.0575423312122901,0.0575423310661674,1.46122718092112e-10,NA,NA,TRUE,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,80,40,300,6,6,2,FALSE,0.00600000000000023,0.00200000000000067,1,5.32092173946642e-16,2.66453525910038e-15,6.55813777348123e-16,0,2.9575586669422e-06,1.4787793334711e-06,0.960274288380754,0.960274288380754,2.22044604925031e-16,NA,NA,TRUE,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,80,40,300,6,6,5,FALSE,0.00600000000000023,0.00200000000000067,1,6.28955914045002e-11,4.5007908511252e-10,9.25687914275661e-09,8.53773646251594e-07,1.70754729250319e-06,1.4787793334711e-06,0.0547282607291638,0.054728260728975,1.88765669761892e-13,NA,NA,TRUE,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,80,40,300,6,6,7,FALSE,0.00600000000000023,0.00200000000000067,0.999999999999999,2.87539008835536e-10,2.78968670386348e-09,2.65807979415712e-08,8.53773646251594e-07,2.25887274392255e-06,1.4787793334711e-06,0.0547387976707496,0.0547387976379691,3.27804935973397e-11,NA,NA,TRUE,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,80,40,300,6,6,10,FALSE,0.00600000000000023,0.00200000000000067,1,6.85950859357162e-10,6.27077323400727e-09,6.15899186445237e-08,1.20741826972573e-06,2.09130978915187e-06,1.4787793334711e-06,0.0575423312122901,0.0575423310661674,1.46122718092112e-10,NA,NA,TRUE,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,180,60,90,40,40,2,TRUE,0.0169999999999995,0.00399999999999956,1,1.14956009870075e-15,1.15463194561016e-14,1.14292506880467e-15,0,1.70754729250319e-06,1.20741826972573e-06,3.7486131425833,3.7486131425833,0,NA,NA,TRUE,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,180,60,90,40,40,5,TRUE,0.0169999999999995,0.00399999999999956,1,1.49667547589203e-15,2.48689957516035e-14,1.66850966400957e-15,0,1.70754729250319e-06,1.4787793334711e-06,3.22541278634905,3.22541278634905,0,NA,NA,TRUE,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,180,60,90,40,40,7,TRUE,0.0169999999999995,0.00399999999999956,1,1.24643106107666e-15,1.68753899743024e-14,1.34141985516269e-15,0,8.53773646251594e-07,1.90909591041642e-06,2.89131586560798,2.89131586560798,4.44089209850063e-16,NA,NA,TRUE,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,180,60,90,40,40,10,TRUE,0.0169999999999995,0.00399999999999956,1,2.09298912649332e-15,3.37507799486048e-14,2.47225406093992e-15,1.4787793334711e-06,1.20741826972573e-06,1.4787793334711e-06,2.5149056575916,2.5149056575916,4.44089209850063e-16,NA,NA,TRUE,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,180,60,90,40,40,2,TRUE,0.0180000000000007,0.00300000000000011,1,1.20830447322441e-15,1.95399252334028e-14,1.27912746552389e-15,8.53773646251594e-07,1.4787793334711e-06,8.53773646251594e-07,3.7486131425833,3.7486131425833,0,NA,NA,TRUE,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,180,60,90,40,40,5,TRUE,0.0180000000000007,0.00300000000000011,1,1.19615647683293e-15,1.95399252334028e-14,1.28079671201647e-15,0,1.4787793334711e-06,1.20741826972573e-06,3.22541278634905,3.22541278634905,0,NA,NA,TRUE,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,180,60,90,40,40,7,TRUE,0.0180000000000007,0.00300000000000011,1,1.46037215344486e-15,1.95399252334028e-14,1.57820776851921e-15,0,2.09130978915187e-06,8.53773646251594e-07,2.89131586560798,2.89131586560798,0,NA,NA,TRUE,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,180,60,90,40,40,10,TRUE,0.0180000000000007,0.00300000000000011,1,1.39129810716218e-15,2.22044604925031e-14,1.54066431059879e-15,1.4787793334711e-06,1.70754729250319e-06,8.53773646251594e-07,2.5149056575916,2.5149056575916,0,NA,NA,TRUE,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,180,60,90,40,40,2,TRUE,0.0169999999999995,0.00399999999999956,1,1.85591806360993e-15,1.45994327738208e-14,1.7752540589774e-15,0,8.53773646251594e-07,8.53773646251594e-07,3.7486131425833,3.7486131425833,4.44089209850063e-16,NA,NA,TRUE,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,180,60,90,40,40,5,TRUE,0.0169999999999995,0.00399999999999956,1,3.39841234279144e-15,5.15143483426073e-14,3.83708112314015e-15,0,1.70754729250319e-06,1.20741826972573e-06,3.22541278634905,3.22541278634905,0,NA,NA,TRUE,"ok",""
