"package_version","dataset","family","task_type","selection_metric","selected_ncomp","selected_metric","grid_min","grid_max","intrinsic_limit","selection_status","kfold","seed","control_profile","oversample","power","elapsed_sec","n_train","p","q","status","error"
"0.99.39","retina","simpls","classification","accuracy",30,0.968663512186412,1,50,50,"interior",10,123,"ordinary_fast",32,5,0.764,22402,50,12,"success",""
"0.99.39","retina","opls","classification","accuracy",22,0.951879296491385,1,50,50,"interior",10,123,"ordinary_fast",32,5,0.946,22402,50,12,"success",""
"0.99.39","retina","kernelpls","classification","accuracy",30,0.968663512186412,1,50,50,"interior",10,123,"ordinary_fast",32,5,0.748,22402,50,12,"success",""
"0.99.39","tabula","plssvd","classification","accuracy",31,0.782087404831845,1,31,31,"rank_limited",10,123,"not_applicable",32,5,3.213,50043,50,32,"success",""
"0.99.39","tabula","simpls","classification","accuracy",44,0.802369961832824,1,50,50,"interior",10,123,"ordinary_fast",32,5,3.054,50043,50,32,"success",""
"0.99.39","tabula","opls","classification","accuracy",47,0.800171852207102,1,50,50,"interior",10,123,"ordinary_fast",32,5,3.997,50043,50,32,"success",""
"0.99.39","tabula","kernelpls","classification","accuracy",44,0.802369961832824,1,50,50,"interior",10,123,"ordinary_fast",32,5,3.132,50043,50,32,"success",""
"0.99.39","tcga_brca","plssvd","classification","accuracy",3,0.822751322751323,1,4,4,"interior",10,123,"not_applicable",32,5,0.057,756,1000,5,"success",""
"0.99.39","tcga_brca","simpls","classification","accuracy",7,0.863756613756614,1,100,679,"interior",10,123,"ordinary_fast",32,5,0.964,756,1000,5,"success",""
"0.99.39","tcga_brca","opls","classification","accuracy",5,0.80952380952381,1,100,679,"interior",10,123,"ordinary_fast",32,5,1.04,756,1000,5,"success",""
"0.99.39","tcga_brca","kernelpls","classification","accuracy",7,0.863756613756614,1,100,679,"interior",10,123,"ordinary_fast",32,5,0.963,756,1000,5,"success",""
"0.99.39","tcga_hnsc_methylation","plssvd","classification","accuracy",1,0.984615384615385,1,1,1,"rank_limited",10,123,"not_applicable",32,5,0.016,520,782,2,"success",""
"0.99.39","tcga_hnsc_methylation","simpls","classification","accuracy",2,0.988461538461539,1,100,467,"interior",10,123,"ordinary_fast",32,5,0.357,520,782,2,"success",""
"0.99.39","tcga_hnsc_methylation","opls","classification","accuracy",1,0.988461538461539,1,100,467,"lower_grid_boundary",10,123,"ordinary_fast",32,5,0.383,520,782,2,"success",""
"0.99.39","tcga_hnsc_methylation","kernelpls","classification","accuracy",2,0.988461538461539,1,100,467,"interior",10,123,"ordinary_fast",32,5,0.355,520,782,2,"success",""
"0.99.39","tcga_pan_cancer","plssvd","classification","accuracy",30,0.892333333333333,1,31,31,"interior",10,123,"not_applicable",32,5,1.176,3000,850,32,"success",""
"0.99.39","tcga_pan_cancer","simpls","classification","accuracy",185,0.939333333333333,1,200,850,"interior",10,123,"ordinary_fast",32,5,31.697,3000,850,32,"success",""
"0.99.39","tcga_pan_cancer","opls","classification","accuracy",182,0.939333333333333,1,200,850,"interior",10,123,"ordinary_fast",32,5,32.679,3000,850,32,"success",""
"0.99.39","tcga_pan_cancer","kernelpls","classification","accuracy",185,0.939333333333333,1,200,850,"interior",10,123,"ordinary_fast",32,5,31.764,3000,850,32,"success",""
