"package_version","dataset","family","task_type","selection_metric","ncomp","metric_value","kfold","seed","control_profile","oversample","power"
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",67,1159.10702177377,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",68,1161.32696233179,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",69,1162.15386012775,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",70,1161.86926596269,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",71,1162.44592266424,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",72,1162.56485227656,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",73,1162.39270763879,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",74,1164.30068451514,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",75,1165.87474319347,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",76,1168.07429268289,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",77,1170.96225573602,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",78,1170.86014407565,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",79,1170.88217293143,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",80,1170.21436128873,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",81,1168.90823495364,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",82,1168.96630527105,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",83,1170.04974892758,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",84,1170.09174356886,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",85,1173.17809503594,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",86,1175.07915172647,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",87,1177.1211053777,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",88,1180.08645564239,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",89,1180.58200159119,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",90,1182.75848741012,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",91,1181.17172802126,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",92,1180.60612953406,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",93,1181.15668207267,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",94,1179.4267441914,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",95,1178.0055736459,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",96,1179.66783508247,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",97,1181.5011893613,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",98,1183.85764534736,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",99,1185.23425570856,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",100,1191.03064936114,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",1,1706.44987636168,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",2,1412.47609969883,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",3,1298.08490287193,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",4,1283.18831351145,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",5,1271.76680471714,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",6,1267.0929165614,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",7,1265.00270017596,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",8,1261.48968765381,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",9,1243.74906040335,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",10,1234.20379049521,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",11,1224.64278768009,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",12,1216.12552724705,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",13,1206.67035370797,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",14,1201.92104763272,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",15,1199.50755079827,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",16,1192.54650089721,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",17,1185.19988402343,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",18,1181.59087834308,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",19,1177.46390142977,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",20,1172.02489981569,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",21,1169.26301237202,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",22,1164.3693768773,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",23,1160.98016154038,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",24,1160.59719417929,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",25,1160.02118154849,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",26,1155.00479495737,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",27,1146.17302139646,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",28,1144.68287911878,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",29,1141.96107779557,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",30,1143.01937199217,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",31,1139.19047019143,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",32,1138.97194034015,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",33,1138.8568682042,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",34,1142.17232350707,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",35,1138.78144923821,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",36,1139.88615514439,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",37,1141.729450234,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",38,1140.68494234715,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",39,1139.14550854713,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",40,1136.98268014839,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",41,1138.57827342299,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",42,1136.77417912267,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",43,1133.89107429736,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",44,1134.12869034372,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",45,1132.72915685032,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",46,1131.04464050347,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",47,1130.76698206259,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",48,1129.76036046648,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",49,1132.37142113627,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",50,1135.7120914321,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",51,1136.46999655046,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",52,1139.42764323936,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",53,1144.81674733778,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",54,1145.77785272764,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",55,1148.19093174588,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",56,1152.28706339694,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",57,1154.73933289464,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",58,1154.80973179403,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",59,1155.82102162357,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",60,1157.63370697674,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",61,1157.38281601564,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",62,1157.69201277731,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",63,1155.16843183626,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",64,1157.44377380324,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",65,1157.39431652246,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",66,1159.34206169571,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",67,1161.50869030968,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",68,1162.31965787976,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",69,1162.15684195697,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",70,1162.48230659573,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",71,1162.15788302426,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",72,1162.85640201265,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",73,1164.68614308205,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",74,1165.81341370381,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",75,1168.19375325399,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",76,1171.11380512502,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",77,1171.18722306008,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",78,1170.70007220351,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","opls","regression","rmsd",79,1170.23636670025,10,123,"ordinary_fast",32,5
