"dataset","backend","solver","oversample","power","randomized_seed","ncomp","reference_time_sec","candidate_time_sec","prediction_relative_error","prediction_correlation","label_agreement","reference_metric","candidate_metric","metric_absolute_difference","approximation_tolerance_pass","diagnostic_status","gpu_resident"
"synthetic_high_rank_response","cuda","rsvd",10,4,19,10,0.014,0.024,0.00108832680099819,0.999999408085716,NA,0.674384388881327,0.674390502834326,6.11395299876527e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,19,20,0.014,0.024,0.0023106423174691,0.999997345698074,NA,0.491227243006608,0.491287081382315,5.98383757069443e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,43,2,0.014,0.0249999999999999,0.000103383799772498,0.999999994687232,NA,0.88724208693186,0.887240677597463,1.40933439696234e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,43,5,0.014,0.0249999999999999,0.000206730585562469,0.999999978691722,NA,0.779663278379691,0.779660972782324,2.30559736646985e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,43,10,0.014,0.0249999999999999,0.000994117284197803,0.999999506143267,NA,0.674384388881327,0.674399671851739,1.52829704117563e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,43,20,0.014,0.0249999999999999,0.00279825902395714,0.999996102040066,NA,0.491227243006608,0.491144019532254,8.32234743540217e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,123,2,0.014,0.0249999999999999,0.000142460303323666,0.999999989861723,NA,0.88724208693186,0.887240059717666,2.02721419417795e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,123,5,0.014,0.0249999999999999,0.000467010619405943,0.999999891303195,NA,0.779663278379691,0.77966443115368,1.15277398871072e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,123,10,0.014,0.0249999999999999,0.00150043641381844,0.999998875316184,NA,0.674384388881327,0.674368540832039,1.58480492886692e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,123,20,0.014,0.0249999999999999,0.00237913000461457,0.99999717531266,NA,0.491227243006608,0.491294704073718,6.74610671096421e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,1,2,0.014,0.0290000000000004,0.000412695569749252,0.999999916119667,NA,0.88724208693186,0.887239738673814,2.34825804668048e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,1,5,0.014,0.0290000000000004,0.000669774920078402,0.999999776315638,NA,0.779663278379691,0.779668903600026,5.6252203355367e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,1,10,0.014,0.0290000000000004,0.00264012281443735,0.999996513354383,NA,0.674384388881327,0.674347233552452,3.71553288758264e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,1,20,0.014,0.0290000000000004,0.00374618525635889,0.999992993784514,NA,0.491227243006608,0.491350687595654,0.000123444589045729,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,7,2,0.014,0.028,0.000298458480753679,0.999999955467446,NA,0.88724208693186,0.887248037677765,5.9507459048147e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,7,5,0.014,0.028,0.000380775715064917,0.999999927786611,NA,0.779663278379691,0.779654152329224,9.12605046743398e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,7,10,0.014,0.028,0.00080088751094172,0.999999679606152,NA,0.674384388881327,0.67435783406311,2.65548182176722e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,7,20,0.014,0.028,0.00277768275929323,0.999996147404108,NA,0.491227243006608,0.49112165224853,0.0001055907580777,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,19,2,0.014,0.028,0.000451409340236545,0.999999898095269,NA,0.88724208693186,0.88723703672687,5.0502049900869e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,19,5,0.014,0.028,0.000567504507657118,0.999999838941559,NA,0.779663278379691,0.779655679530171,7.59884951984091e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,19,10,0.014,0.028,0.00159618322136464,0.999998726162236,NA,0.674384388881327,0.674409810299222,2.54214178940781e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,19,20,0.014,0.028,0.0021308581619881,0.999997743028391,NA,0.491227243006608,0.491283040449151,5.57974425428598e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,43,2,0.014,0.0300000000000002,0.000157949071201633,0.999999987829462,NA,0.88724208693186,0.887239977241747,2.10969011338324e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,43,5,0.014,0.0300000000000002,0.000373975766484452,0.999999930255959,NA,0.779663278379691,0.779661918113338,1.36026635277897e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,43,10,0.014,0.0300000000000002,0.00134217522661682,0.999999099219761,NA,0.674384388881327,0.674341855176931,4.25337043964413e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,43,20,0.014,0.0300000000000002,0.00228095240169525,0.999997401723734,NA,0.491227243006608,0.491240187782389,1.29447757807322e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,123,2,0.014,0.0289999999999999,0.000441376943435062,0.999999902632253,NA,0.88724208693186,0.887249276832119,7.18990025905253e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,123,5,0.014,0.0289999999999999,0.000418754691086115,0.999999912339372,NA,0.779663278379691,0.77967568102206,1.24026423687917e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,123,10,0.014,0.0289999999999999,0.0015063425392495,0.999998864951714,NA,0.674384388881327,0.674362733502292,2.16553790358676e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,1,123,20,0.014,0.0289999999999999,0.00272241088890617,0.999996316684411,NA,0.491227243006608,0.491017882963978,0.000209360042629725,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,1,2,0.014,0.0300000000000002,3.33957195234375e-08,0.999999999999999,NA,0.88724208693186,0.887242086532005,3.99855037969132e-10,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,1,5,0.014,0.0300000000000002,1.71930617352712e-07,0.999999999999985,NA,0.779663278379691,0.779663280510408,2.13071660315478e-09,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,1,10,0.014,0.0300000000000002,6.32518409472841e-06,0.999999999979983,NA,0.674384388881327,0.674384492458242,1.03576914600723e-07,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,1,20,0.014,0.0300000000000002,4.92933810393836e-06,0.99999999998785,NA,0.491227243006608,0.491227158737028,8.42695802028004e-08,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,7,2,0.014,0.0289999999999999,2.54373236397654e-08,1,NA,0.88724208693186,0.887242086986467,5.46066525330957e-11,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,7,5,0.014,0.0289999999999999,1.27259855663609e-07,0.999999999999992,NA,0.779663278379691,0.779663273900224,4.47946690851353e-09,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,7,10,0.014,0.0289999999999999,6.21832378124623e-06,0.999999999980653,NA,0.674384388881327,0.674384481357206,9.24758785103563e-08,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,7,20,0.014,0.0289999999999999,3.94157517670929e-06,0.999999999992236,NA,0.491227243006608,0.491227137183274,1.05823334262123e-07,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,19,2,0.014,0.0289999999999999,5.94567964103985e-08,0.999999999999998,NA,0.88724208693186,0.887242086656492,2.75368838842383e-10,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",20,2,19,5,0.014,0.0289999999999999,1.23145240470834e-07,0.999999999999993,NA,0.779663278379691,0.779663276447922,1.93176930007866e-09,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
