"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"retina","opls","argmax","cpu","rsvd",10,1009,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.949698862368949,0.949698862368949,NA,0.760556470418911,1.37400000000001,0.0900000000000034,1.46400000000001,"ok",NA
"retina","opls","lda","cpu","rsvd",1,101,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.96687486058443,0.96687486058443,NA,NA,1.60300000000001,0.146000000000001,1.74900000000001,"ok",NA
"retina","opls","lda","cpu","rsvd",2,211,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.967878652687932,0.967878652687932,NA,NA,1.589,0.120999999999995,1.70999999999999,"ok",NA
"retina","opls","lda","cpu","rsvd",3,307,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.969105509703324,0.969105509703324,NA,NA,1.58900000000001,0.119,1.70800000000001,"ok",NA
"retina","opls","lda","cpu","rsvd",4,401,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.96709792549632,0.96709792549632,NA,NA,1.58799999999999,0.106000000000009,1.694,"ok",NA
"retina","opls","lda","cpu","rsvd",5,503,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.96352888690609,0.96352888690609,NA,NA,1.59999999999999,0.140000000000001,1.74,"ok",NA
"retina","opls","lda","cpu","rsvd",6,601,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.967320990408209,0.967320990408209,NA,NA,1.59700000000001,0.120999999999995,1.718,"ok",NA
"retina","opls","lda","cpu","rsvd",7,701,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.966205665848762,0.966205665848762,NA,NA,1.593,0.118000000000009,1.71100000000001,"ok",NA
"retina","opls","lda","cpu","rsvd",8,809,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.967320990408209,0.967320990408209,NA,NA,1.66199999999999,0.105999999999995,1.76799999999999,"ok",NA
"retina","opls","lda","cpu","rsvd",9,907,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.9685478474236,0.9685478474236,NA,NA,1.58199999999999,0.11999999999999,1.70199999999998,"ok",NA
"retina","opls","lda","cpu","rsvd",10,1009,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.96687486058443,0.96687486058443,NA,NA,1.59599999999999,0.119,1.71499999999999,"ok",NA
"retina","plssvd","argmax","cpu","rsvd",1,101,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.927392371180013,0.927392371180013,NA,0.747513626658113,1.18,0.0469999999999997,1.227,"ok",NA
"retina","plssvd","argmax","cpu","rsvd",2,211,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.924492527325452,0.924492527325452,NA,0.73798043971971,1.094,0.0459999999999998,1.14,"ok",NA
"retina","plssvd","argmax","cpu","rsvd",3,307,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.930738344858354,0.930738344858354,NA,0.746838620593174,1.095,0.0449999999999999,1.14,"ok",NA
"retina","plssvd","argmax","cpu","rsvd",4,401,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.927280838724069,0.927280838724069,NA,0.744341399045581,1.09,0.0460000000000003,1.136,"ok",NA
"retina","plssvd","argmax","cpu","rsvd",5,503,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.924269462413562,0.924269462413562,NA,0.741185072331643,1.104,0.0459999999999994,1.15,"ok",NA
"retina","plssvd","argmax","cpu","rsvd",6,601,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.922819540486281,0.922819540486281,NA,0.739208326682423,1.104,0.0500000000000007,1.154,"ok",NA
"retina","plssvd","argmax","cpu","rsvd",7,701,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.926053981708677,0.926053981708677,NA,0.743196351648649,1.105,0.0459999999999994,1.151,"ok",NA
"retina","plssvd","argmax","cpu","rsvd",8,809,44808,35842,8966,50,12,5,"2;5;10;11","2;5;10;11",2,11,2,11,11,FALSE,TRUE,TRUE,"accuracy",0.927615436091903,0.927615436091903,NA,0.745653952677942,1.136,0.0460000000000012,1.182,"ok",NA
