"family","case","source","task","n_train","n_test","p","q","ncomp","north","kernel","solver","operator_relative_error","prediction_relative_error","prediction_correlation","coefficient_relative_error","max_predictive_score_angle_deg","max_orthogonal_score_angle_deg","label_agreement","fast_metric","reference_metric","metric_absolute_difference","status","error","setting","gamma","degree","coef0","passes_operator","passes_prediction","passes_coefficient","passes_predictive_subspace","passes_orthogonal_subspace","passes_labels","passes_metric","passes_all"
"kernelPLS","gasoline_real_regression","real","regression",42,18,401,1,5,NA,"linear","exact_small_dimension_fallback",4.65698078208078e-15,4.71312399270485e-15,1,6.30863157503365e-13,0,NA,NA,0.295530157271849,0.295530157271535,3.14304138271382e-13,"success",NA,"linear",0.00249376558603491,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","gasoline_real_regression","real","regression",42,18,401,1,5,NA,"rbf","exact_small_dimension_fallback",1.14721342320736e-15,1.07835102097187e-15,1,1.06091175638667e-13,0,NA,NA,0.732191279341785,0.732191279341729,5.56221735337203e-14,"success",NA,"rbf_gamma_0.25_over_p",0.000623441396508728,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","gasoline_real_regression","real","regression",42,18,401,1,5,NA,"rbf","exact_small_dimension_fallback",5.75435349332715e-16,9.42646646434573e-17,1,4.11149226897808e-15,0,NA,NA,1.07579405948055,1.07579405948055,2.66453525910038e-15,"success",NA,"rbf_gamma_1_over_p",0.00249376558603491,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","gasoline_real_regression","real","regression",42,18,401,1,5,NA,"rbf","exact_small_dimension_fallback",7.98102155621059e-16,6.66841524114576e-17,1,6.3359913831515e-15,0,NA,NA,1.33710110309017,1.33710110309017,2.44249065417534e-15,"success",NA,"rbf_gamma_4_over_p",0.00997506234413965,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","gasoline_real_regression","real","regression",42,18,401,1,5,NA,"poly","exact_small_dimension_fallback",3.59659667866908e-16,7.89107532099531e-16,1,2.61919650521168e-14,1.20741826972573e-06,NA,NA,0.436284580318464,0.436284580318469,4.49640324973188e-15,"success",NA,"poly_degree2_offset1",0.00249376558603491,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","gasoline_real_regression","real","regression",42,18,401,1,5,NA,"poly","exact_small_dimension_fallback",4.51491098604898e-16,4.74608999142367e-15,1,1.60027142710458e-14,8.53773646251594e-07,NA,NA,1.20791298274152,1.2079129827412,3.17523785042795e-13,"success",NA,"poly_degree3_offset1",0.00249376558603491,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","gasoline_real_regression","real","regression",42,18,401,1,5,NA,"poly","exact_small_dimension_fallback",5.48655173835379e-16,1.90631920701635e-15,1,1.42024107258367e-13,1.20741826972573e-06,NA,NA,3.21588539170531,3.21588539170537,6.43929354282591e-14,"success",NA,"poly_degree4_offset1",0.00249376558603491,4,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","gasoline_real_regression","real","regression",42,18,401,1,5,NA,"poly","exact_small_dimension_fallback",3.98889481329448e-16,1.16508122294031e-14,1,5.03236979883235e-13,1.70754729250319e-06,NA,NA,1.5908526298165,1.5908526298173,7.97140131680862e-13,"success",NA,"poly_degree3_offset0",0.00249376558603491,3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","breast_real_classification","real","classification",150,70,200,3,3,1,NA,"exact_small_dimension_fallback",9.36396657330685e-16,3.02660976024161e-15,1,2.48431347585088e-15,1.4787793334711e-06,8.53773646251594e-07,1,0.971428571428571,0.971428571428571,0,"success",NA,"north_1",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","breast_real_classification","real","classification",150,70,200,3,3,2,NA,"exact_small_dimension_fallback",1.84658697335398e-15,1.29525856250316e-14,1,2.36927985199864e-14,0,1.70754729250319e-06,1,0.971428571428571,0.971428571428571,0,"success",NA,"north_2",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","breast_real_classification","real","classification",150,70,200,3,3,3,NA,"exact_small_dimension_fallback",2.37720280411228e-15,7.60024550882628e-15,1,1.74116913564974e-14,0,8.53773646251594e-07,1,0.957142857142857,0.957142857142857,0,"success",NA,"north_3",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","breast_real_classification","real","classification",150,70,200,3,3,NA,"linear","exact_small_dimension_fallback",2.14694469638295e-15,3.85107593793322e-15,1,5.69108183838485e-15,0,NA,1,0.971428571428571,0.971428571428571,0,"success",NA,"linear",0.005,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","breast_real_classification","real","classification",150,70,200,3,3,NA,"rbf","exact_small_dimension_fallback",3.57990081472251e-15,4.26216552183736e-15,1,8.75796674904263e-15,0,NA,1,0.985714285714286,0.985714285714286,0,"success",NA,"rbf_gamma_0.25_over_p",0.00125,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","breast_real_classification","real","classification",150,70,200,3,3,NA,"rbf","exact_small_dimension_fallback",1.54920025901754e-15,9.96437129438259e-16,1,1.65041606755863e-15,0,NA,1,0.971428571428571,0.971428571428571,0,"success",NA,"rbf_gamma_1_over_p",0.005,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","breast_real_classification","real","classification",150,70,200,3,3,NA,"rbf","exact_small_dimension_fallback",6.0852841398009e-16,2.38910720912636e-16,1,7.85484111474574e-16,8.53773646251594e-07,NA,1,0.814285714285714,0.814285714285714,0,"success",NA,"rbf_gamma_4_over_p",0.02,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","breast_real_classification","real","classification",150,70,200,3,3,NA,"poly","exact_small_dimension_fallback",9.17122746967171e-16,1.15451969195682e-15,1,1.76700019685351e-15,8.53773646251594e-07,NA,1,0.971428571428571,0.971428571428571,0,"success",NA,"poly_degree2_offset1",0.005,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","breast_real_classification","real","classification",150,70,200,3,3,NA,"poly","exact_small_dimension_fallback",6.85624568057704e-16,1.2491823965111e-15,1,2.61367341085345e-15,0,NA,1,0.971428571428571,0.971428571428571,0,"success",NA,"poly_degree3_offset1",0.005,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","breast_real_classification","real","classification",150,70,200,3,3,NA,"poly","exact_small_dimension_fallback",6.30780588022182e-16,1.32132285521225e-15,1,2.43891500130058e-15,1.4787793334711e-06,NA,1,0.9,0.9,0,"success",NA,"poly_degree4_offset1",0.005,4,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","breast_real_classification","real","classification",150,70,200,3,3,NA,"poly","exact_small_dimension_fallback",6.12463611521953e-16,5.87856168491618e-16,1,1.003858357708e-15,0,NA,1,0.742857142857143,0.742857142857143,0,"success",NA,"poly_degree3_offset0",0.005,3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
