"family","setting","case","task","component","fold","fast_metric","reference_metric","status","error"
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",4,3,0.845713068923063,0.845713068923063,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",4,4,0.900354080841255,0.900354080841255,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",4,5,0.978705659419198,0.978705659419197,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",5,1,0.437212462934069,0.437212462934069,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",5,2,0.432583057663025,0.432583057663025,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",5,3,0.420564051216644,0.420564051216644,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",5,4,0.386599300842456,0.386599300842456,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",5,5,0.589627566193665,0.589627566193665,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",1,1,1.87356680115246,1.87356680115246,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",1,2,1.75233325526961,1.75233325526961,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",1,3,1.97352437607829,1.97352437607829,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",1,4,1.82578027885517,1.82578027885517,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",1,5,2.09170873714505,2.09170873714505,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",2,1,1.46612998546909,1.46612998546909,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",2,2,1.30743741742324,1.30743741742324,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",2,3,1.39722595795967,1.39722595795967,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",2,4,1.53175578313274,1.53175578313274,"success",NA
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression",2,5,1.66298751887526,1.66298751887526,"success",NA
