"component","fast_metric","reference_metric","family","setting","case"
3,1.88245514002914,1.88245514002914,"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_gt_n_ill_conditioned"
4,1.84024820098662,1.84024820098662,"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_gt_n_ill_conditioned"
5,1.81407172889169,1.81407172889169,"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_gt_n_ill_conditioned"
1,2.1169615872381,2.1169615872381,"kernelPLS","poly_degree2_offset1","synthetic_regression_p_gt_n_ill_conditioned"
2,1.69735226117797,1.69735226117797,"kernelPLS","poly_degree2_offset1","synthetic_regression_p_gt_n_ill_conditioned"
3,1.26016900747399,1.26016900747399,"kernelPLS","poly_degree2_offset1","synthetic_regression_p_gt_n_ill_conditioned"
4,0.9943102397394,0.9943102397394,"kernelPLS","poly_degree2_offset1","synthetic_regression_p_gt_n_ill_conditioned"
5,0.640863680228974,0.640863680228974,"kernelPLS","poly_degree2_offset1","synthetic_regression_p_gt_n_ill_conditioned"
1,2.11979832981948,2.11979832981948,"kernelPLS","poly_degree3_offset1","synthetic_regression_p_gt_n_ill_conditioned"
2,1.72588930789751,1.72588930789751,"kernelPLS","poly_degree3_offset1","synthetic_regression_p_gt_n_ill_conditioned"
3,1.32860339144318,1.32860339144318,"kernelPLS","poly_degree3_offset1","synthetic_regression_p_gt_n_ill_conditioned"
4,1.11598347942698,1.11598347942698,"kernelPLS","poly_degree3_offset1","synthetic_regression_p_gt_n_ill_conditioned"
5,0.878925414876756,0.878925414876756,"kernelPLS","poly_degree3_offset1","synthetic_regression_p_gt_n_ill_conditioned"
1,2.11790752783311,2.11790752783311,"kernelPLS","poly_degree4_offset1","synthetic_regression_p_gt_n_ill_conditioned"
2,1.78742351503413,1.78742351503413,"kernelPLS","poly_degree4_offset1","synthetic_regression_p_gt_n_ill_conditioned"
3,1.46353937466693,1.46353937466693,"kernelPLS","poly_degree4_offset1","synthetic_regression_p_gt_n_ill_conditioned"
4,1.32655410084384,1.32655410084384,"kernelPLS","poly_degree4_offset1","synthetic_regression_p_gt_n_ill_conditioned"
5,1.17472250156663,1.17472250156663,"kernelPLS","poly_degree4_offset1","synthetic_regression_p_gt_n_ill_conditioned"
1,2.16164284390482,2.16164284390482,"kernelPLS","poly_degree3_offset0","synthetic_regression_p_gt_n_ill_conditioned"
2,1.84676721297063,1.84676721297063,"kernelPLS","poly_degree3_offset0","synthetic_regression_p_gt_n_ill_conditioned"
3,1.61053150671309,1.61053150671309,"kernelPLS","poly_degree3_offset0","synthetic_regression_p_gt_n_ill_conditioned"
4,1.49460374047464,1.49460374047464,"kernelPLS","poly_degree3_offset0","synthetic_regression_p_gt_n_ill_conditioned"
5,1.36288277552519,1.36288277552519,"kernelPLS","poly_degree3_offset0","synthetic_regression_p_gt_n_ill_conditioned"
1,0.45623452570821,0.45623452570821,"OPLS","north_1","synthetic_classification_p_lt_n"
2,0.667313738892686,0.667313738892686,"OPLS","north_1","synthetic_classification_p_lt_n"
3,0.679247360826308,0.679247360826308,"OPLS","north_1","synthetic_classification_p_lt_n"
4,0.70760917445128,0.70760917445128,"OPLS","north_1","synthetic_classification_p_lt_n"
5,0.713218652692337,0.713218652692337,"OPLS","north_1","synthetic_classification_p_lt_n"
1,0.472316397053239,0.472316397053239,"OPLS","north_2","synthetic_classification_p_lt_n"
2,0.600196703880914,0.600196703880914,"OPLS","north_2","synthetic_classification_p_lt_n"
3,0.628504594820384,0.628504594820384,"OPLS","north_2","synthetic_classification_p_lt_n"
4,0.640120756436546,0.640120756436546,"OPLS","north_2","synthetic_classification_p_lt_n"
5,0.601550087339561,0.601550087339561,"OPLS","north_2","synthetic_classification_p_lt_n"
1,0.472316397053239,0.472316397053239,"OPLS","north_3","synthetic_classification_p_lt_n"
2,0.52683223209539,0.52683223209539,"OPLS","north_3","synthetic_classification_p_lt_n"
3,0.548469658995975,0.548469658995975,"OPLS","north_3","synthetic_classification_p_lt_n"
4,0.532838915470494,0.532838915470494,"OPLS","north_3","synthetic_classification_p_lt_n"
5,0.550728335991494,0.550728335991494,"OPLS","north_3","synthetic_classification_p_lt_n"
1,0.450173919647604,0.450173919647604,"kernelPLS","linear","synthetic_classification_p_lt_n"
2,0.628133211817422,0.628133211817422,"kernelPLS","linear","synthetic_classification_p_lt_n"
3,0.683713070555176,0.683713070555176,"kernelPLS","linear","synthetic_classification_p_lt_n"
4,0.699502544239386,0.699502544239386,"kernelPLS","linear","synthetic_classification_p_lt_n"
5,0.717789169894433,0.717789169894433,"kernelPLS","linear","synthetic_classification_p_lt_n"
1,0.431992101465786,0.431992101465786,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_classification_p_lt_n"
2,0.539512417407154,0.539512417407154,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_classification_p_lt_n"
3,0.673028024606972,0.673028024606972,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_classification_p_lt_n"
