"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","folds","fastpls_selected_ncomp","reference_selected_ncomp","selected_component_agreement","maximum_cv_curve_absolute_difference","fastpls_selected_metric","reference_selected_metric","status","error_message","package_version","source_archive_sha256"
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",43,32,5,5,2,2,TRUE,0,0.540783614901262,0.540783614901262,"ok","","0.99.39",NA
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",123,32,5,5,2,2,TRUE,0,0.540783614901262,0.540783614901262,"ok","","0.99.39",NA
"Breast","real","classification","p_greater_than_n",123,"irlba",NA,NA,NA,5,2,2,TRUE,0,0.98,0.98,"ok","","0.99.39",NA
"Breast","real","classification","p_greater_than_n",123,"rsvd",1,32,5,5,2,2,TRUE,0,0.98,0.98,"ok","","0.99.39",NA
"Breast","real","classification","p_greater_than_n",123,"rsvd",7,32,5,5,2,2,TRUE,0,0.98,0.98,"ok","","0.99.39",NA
"Breast","real","classification","p_greater_than_n",123,"rsvd",19,32,5,5,2,2,TRUE,0,0.98,0.98,"ok","","0.99.39",NA
"Breast","real","classification","p_greater_than_n",123,"rsvd",43,32,5,5,2,2,TRUE,0,0.98,0.98,"ok","","0.99.39",NA
"Breast","real","classification","p_greater_than_n",123,"rsvd",123,32,5,5,2,2,TRUE,0,0.98,0.98,"ok","","0.99.39",NA
"Colon","real","classification","p_much_greater_than_n",123,"irlba",NA,NA,NA,5,8,8,TRUE,0,0.895555555555556,0.895555555555556,"ok","","0.99.39",NA
"Colon","real","classification","p_much_greater_than_n",123,"rsvd",1,32,5,5,8,8,TRUE,0,0.895555555555556,0.895555555555556,"ok","","0.99.39",NA
"Colon","real","classification","p_much_greater_than_n",123,"rsvd",7,32,5,5,8,8,TRUE,0,0.895555555555556,0.895555555555556,"ok","","0.99.39",NA
"Colon","real","classification","p_much_greater_than_n",123,"rsvd",19,32,5,5,8,8,TRUE,0,0.895555555555556,0.895555555555556,"ok","","0.99.39",NA
"Colon","real","classification","p_much_greater_than_n",123,"rsvd",43,32,5,5,8,8,TRUE,0,0.895555555555556,0.895555555555556,"ok","","0.99.39",NA
"Colon","real","classification","p_much_greater_than_n",123,"rsvd",123,32,5,5,8,8,TRUE,0,0.895555555555556,0.895555555555556,"ok","","0.99.39",NA
"MetRef","real","classification","p_less_than_n_multiclass",123,"irlba",NA,NA,NA,5,18,18,TRUE,0,0.877889649000208,0.877889649000208,"ok","","0.99.39",NA
"MetRef","real","classification","p_less_than_n_multiclass",123,"rsvd",1,32,5,5,18,18,TRUE,0,0.877889649000208,0.877889649000208,"ok","","0.99.39",NA
"MetRef","real","classification","p_less_than_n_multiclass",123,"rsvd",7,32,5,5,18,18,TRUE,0,0.877889649000208,0.877889649000208,"ok","","0.99.39",NA
"MetRef","real","classification","p_less_than_n_multiclass",123,"rsvd",19,32,5,5,18,18,TRUE,0,0.877889649000208,0.877889649000208,"ok","","0.99.39",NA
"MetRef","real","classification","p_less_than_n_multiclass",123,"rsvd",43,32,5,5,18,18,TRUE,0,0.877889649000208,0.877889649000208,"ok","","0.99.39",NA
"MetRef","real","classification","p_less_than_n_multiclass",123,"rsvd",123,32,5,5,18,18,TRUE,0,0.877889649000208,0.877889649000208,"ok","","0.99.39",NA
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,"irlba",NA,NA,NA,5,15,15,TRUE,1.38777878078145e-17,0.00234047678742376,0.00234047678742374,"ok","","0.99.39",NA
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,"rsvd",1,32,5,5,15,15,TRUE,1.38777878078145e-17,0.00234047678742376,0.00234047678742374,"ok","","0.99.39",NA
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,"rsvd",7,32,5,5,15,15,TRUE,4.0766001685455e-17,0.0023404767874237,0.00234047678742374,"ok","","0.99.39",NA
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,"rsvd",19,32,5,5,15,15,TRUE,1.30104260698261e-17,0.00234047678742375,0.00234047678742374,"ok","","0.99.39",NA
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,"rsvd",43,32,5,5,15,15,TRUE,3.90312782094782e-18,0.00234047678742374,0.00234047678742374,"ok","","0.99.39",NA
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,"rsvd",123,32,5,5,15,15,TRUE,6.93889390390723e-18,0.00234047678742375,0.00234047678742374,"ok","","0.99.39",NA
