"scenario_id","design_partition","factor_name","factor_value","task_type","route","backend","svd_method","xprod_requested","xprod_used","requested_oversample","requested_power","rsvd_control_profile","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","effective_oversample","effective_power","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_incremental_rss_mb","median_process_peak_rss_mb","median_gpu_process_peak_mb","median_model_size_mb","median_prediction_relative_error","min_prediction_correlation","min_label_agreement","median_metric_absolute_difference","numerical_failures","completed_runs"
"41_crosscov_mb_2_0","one_factor","crosscov_mb",1.9989013671875,"regression","metal_rsvd_implicit","metal","rsvd","implicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,262,NA,20,10,1,1.9989013671875,0.573,0.026,0.00800000000000001,0.000999999999999994,0.581,0.0270000000000001,68.96925,313.938,NA,2.34064483642578,5.15519522324446e-06,0.999999999986444,NA,8.45596115350844e-09,0,3
"42_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,1500,300,1000,524,NA,20,10,1,3.997802734375,0.453,5e-04,0.0489999999999999,0.000499999999999952,0.501,0.000500000000000056,36.203,292.578,NA,4.14591217041016,0,1,NA,0,0,3
"42_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,1500,300,1000,524,NA,20,10,1,3.997802734375,2.914,0.1495,0.0490000000000004,0.000499999999999952,2.963,0.15,33.171875,292.938,NA,4.15101623535156,3.82708857584965e-05,0.999999999267827,NA,4.04227816441782e-07,0,3
"42_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","cpu_rsvd_explicit","cpu","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,524,NA,20,10,1,3.997802734375,1.733,0.0350000000000001,0.0489999999999999,0,1.782,0.0350000000000001,30.749875,290.953,NA,4.1510009765625,3.82708857603212e-05,0.999999999267827,NA,4.04227816441782e-07,0,3
"42_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","cpu_rsvd_implicit","cpu","rsvd","implicit","TRUE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,524,NA,20,10,1,3.997802734375,6.188,0.0154999999999994,0.0489999999999995,0.000500000000000195,6.236,0.0155000000000012,11.1565,270.266,NA,4.15129089355469,3.82708857596211e-05,0.999999999267827,NA,4.0422781633076e-07,0,3
"42_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,1500,300,1000,524,NA,20,10,1,3.997802734375,1.068,0.00900000000000012,0.00800000000000001,0.003,1.076,0.00600000000000023,72.468625,333.703,NA,4.38153839111328,3.85436598907737e-05,0.999999999247444,NA,4.03757502542845e-07,0,3
"42_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","metal_rsvd_explicit","metal","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,524,NA,20,10,1,3.997802734375,0.837,0.0175000000000001,0.0089999999999999,0.00149999999999995,0.846,0.016,91.280875,357.359,NA,4.38152313232422,3.79225716716033e-05,0.999999999261605,NA,3.98576775362258e-07,0,3
"42_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","metal_rsvd_implicit","metal","rsvd","implicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,524,NA,20,10,1,3.997802734375,0.858,0.0175,0.01,0.00149999999999995,0.868,0.019,77.29675,340.766,NA,4.38152313232422,3.79225716716033e-05,0.999999999261605,NA,3.98576775362258e-07,0,3
"43_crosscov_mb_8_0","one_factor","crosscov_mb",8.00323486328125,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,1500,300,1000,1049,NA,20,10,1,8.00323486328125,0.902,0.00750000000000006,0.097,0,0.999,0.00750000000000006,36.12475,322.906,NA,8.19540405273438,0,1,NA,0,0,3
"43_crosscov_mb_8_0","one_factor","crosscov_mb",8.00323486328125,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,1500,300,1000,1049,NA,20,10,1,8.00323486328125,5.611,0.00900000000000034,0.0960000000000001,0,5.707,0.00900000000000034,33.640625,322.625,NA,8.20050811767578,1.86067733610853e-05,0.999999999826948,NA,1.56123368344474e-07,0,3
