"split","split_seed","ncomp","RMSD","MAE","Q2","fit_time_sec","score_time_sec","status","error"
2,456,100,0.000859296475141946,0.000161068696778668,0.898237448568896,7.092,0.680999999999997,"ok",""
2,456,125,0.000902653965134739,0.000165249551460792,0.887709112298302,7.092,0.853999999999999,"ok",""
2,456,150,0.000912153777439538,0.000169125121531542,0.885333106069949,7.092,0.896000000000001,"ok",""
2,456,165,0.000931399410069642,0.000172728066221414,0.880443320777874,7.092,0.977000000000004,"ok",""
2,456,175,0.000948741283310077,0.000175862615215733,0.875949784177959,7.092,1.022,"ok",""
2,456,200,0.000978990967231841,0.000182001775793713,0.86791323732858,7.092,1.124,"ok",""
2,456,250,0.00102411933544636,0.000190949463487915,0.85545500511555,7.092,1.341,"ok",""
2,456,300,0.00105663880199975,0.000197652145862108,0.84612961645531,7.092,1.541,"ok",""
3,789,1,0.0018289432648465,0.000395967466250733,0.51680377372036,7.087,0.253,"ok",""
3,789,2,0.00143991564556256,0.00031937446109744,0.700499764693385,7.087,0.260999999999996,"ok",""
3,789,3,0.00137870345941391,0.000302820416390266,0.725422594301212,7.087,0.262999999999998,"ok",""
3,789,5,0.00130035091359789,0.000277759115073519,0.75574458475833,7.087,0.272999999999996,"ok",""
3,789,10,0.0011467794173746,0.00022997724788046,0.810030952234063,7.087,0.292000000000002,"ok",""
3,789,25,0.00102066955056004,0.000187594820211312,0.849514940544071,7.087,0.357999999999997,"ok",""
3,789,50,0.0010443608778294,0.000173206550670099,0.842447878336561,7.087,0.468000000000004,"ok",""
3,789,75,0.00112727842772761,0.000171749316045385,0.816436868035833,7.087,0.571999999999996,"ok",""
3,789,100,0.00107986293752319,0.000171705467583466,0.83155414123717,7.087,0.682000000000002,"ok",""
3,789,125,0.00116263821378366,0.000176169281530424,0.804740463820417,7.087,0.787999999999997,"ok",""
3,789,150,0.001205886264697,0.000180741805831461,0.789943674720092,7.087,0.905999999999999,"ok",""
3,789,165,0.00123898646909301,0.0001855128986685,0.77825379616251,7.087,0.975999999999999,"ok",""
3,789,175,0.00124483937232623,0.000188020115797888,0.776153814261302,7.087,1.013,"ok",""
3,789,200,0.00135227563905515,0.000195748355803123,0.735848235849792,7.087,1.12,"ok",""
3,789,250,0.00141662994315924,0.0002044088569419,0.710108219881435,7.087,1.349,"ok",""
3,789,300,0.00143252681715973,0.000211803854548412,0.703565608219009,7.087,1.57900000000001,"ok",""
4,1011,1,0.00184281267757275,0.000408717260641096,0.442565503410765,7.086,0.253,"ok",""
4,1011,2,0.0014546250923228,0.000335877646532243,0.652676948080181,7.086,0.259,"ok",""
4,1011,3,0.00135494619566555,0.000316228791203765,0.698646972759787,7.086,0.262,"ok",""
4,1011,5,0.00122174202064209,0.000270691774422462,0.754986236505575,7.086,0.27000000000001,"ok",""
4,1011,10,0.00110709965830417,0.000234954531730739,0.798810694171938,7.086,0.292000000000002,"ok",""
4,1011,25,0.000936546574536471,0.000188368491287178,0.856023962019344,7.086,0.359999999999999,"ok",""
4,1011,50,0.000839350127385099,0.000166997955376027,0.88435741792234,7.086,0.462000000000003,"ok",""
4,1011,75,0.0008397655493912,0.000159676694232736,0.884242918953971,7.086,0.573999999999998,"ok",""
4,1011,100,0.000858053887542014,0.000156776528271333,0.879146123519011,7.086,0.688999999999993,"ok",""
4,1011,125,0.000899659482529345,0.000159283011722752,0.867141977985112,7.086,0.790000000000006,"ok",""
4,1011,150,0.000937253043501919,0.000164081244616379,0.855806668040034,7.086,0.899999999999991,"ok",""
4,1011,165,0.000945673921331093,0.000165923655765101,0.853203978898348,7.086,0.957999999999998,"ok",""
4,1011,175,0.000965070909608946,0.000168008044009339,0.847120269575836,7.086,0.997,"ok",""
4,1011,200,0.00100578732806185,0.000172976352811367,0.833948127247673,7.086,1.104,"ok",""
4,1011,250,0.00102615821055515,0.000181305904494112,0.827153691971769,7.086,1.33499999999999,"ok",""
4,1011,300,0.00102242362383669,0.000185083606452082,0.828409511766847,7.086,1.55499999999999,"ok",""
5,2027,1,0.00181360816394087,0.000392873877906873,0.519927484367078,7.089,0.256,"ok",""
5,2027,2,0.00149319876410946,0.0003287751125405,0.674571816121584,7.089,0.257999999999996,"ok",""
5,2027,3,0.00141132727574371,0.000310027688656096,0.709279679476213,7.089,0.263000000000005,"ok",""
5,2027,5,0.00131791648319104,0.000278232418445341,0.746489647919139,7.089,0.272000000000006,"ok",""
5,2027,10,0.00117632966604554,0.000235179259756474,0.798034114348483,7.089,0.294000000000011,"ok",""
5,2027,25,0.00107737218591021,0.000190181674158105,0.830585164810597,7.089,0.359000000000009,"ok",""
5,2027,50,0.000950315476812003,0.000170185969221629,0.868187825873835,7.089,0.465000000000003,"ok",""
5,2027,75,0.000930130381478731,0.000166449608081372,0.87372784874422,7.089,0.573999999999998,"ok",""
5,2027,100,0.000993711693283893,0.000167254289364984,0.855874535639762,7.089,0.680999999999997,"ok",""
5,2027,125,0.0010201828179747,0.00016750975558534,0.848093650023644,7.089,0.805000000000007,"ok",""
5,2027,150,0.00106022011323208,0.000174327439001601,0.83593649074431,7.089,0.899000000000001,"ok",""
5,2027,165,0.00109119536458215,0.000177069154401814,0.826209935746189,7.089,0.960000000000008,"ok",""
5,2027,175,0.00108389205982756,0.000178593810034922,0.828528483577699,7.089,1.01000000000001,"ok",""
5,2027,200,0.0010953979304039,0.000184983197445364,0.824868708228489,7.089,1.11,"ok",""
5,2027,250,0.00114628525001247,0.000193739328398878,0.808219111148107,7.089,1.42299999999999,"ok",""
5,2027,300,0.00116588377274059,0.000199266851924394,0.801605131803549,7.089,1.54899999999999,"ok",""
