"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"metref","opls","lda","cpu","rsvd",6,601,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.864406779661017,0.864406779661017,NA,NA,0.346,0.0749999999999993,0.420999999999999,"ok",NA
"metref","opls","lda","cpu","rsvd",7,701,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.875706214689266,0.875706214689266,NA,NA,0.344000000000001,0.0740000000000016,0.418000000000003,"ok",NA
"metref","opls","lda","cpu","rsvd",8,809,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.937853107344633,0.937853107344633,NA,NA,0.348000000000003,0.0749999999999993,0.423000000000002,"ok",NA
"metref","opls","lda","cpu","rsvd",9,907,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.853107344632768,0.853107344632768,NA,NA,0.345000000000002,0.0750000000000028,0.420000000000005,"ok",NA
"metref","opls","lda","cpu","rsvd",10,1009,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.875706214689266,0.875706214689266,NA,NA,0.346,0.0740000000000016,0.420000000000002,"ok",NA
"metref","plssvd","argmax","cpu","rsvd",1,101,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.717514124293785,0.717514124293785,NA,0.266718739238713,0.0559999999999999,0.012,0.068,"ok",NA
"metref","plssvd","argmax","cpu","rsvd",2,211,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.740112994350282,0.740112994350282,NA,0.244204265832238,0.0509999999999999,0.01,0.0609999999999999,"ok",NA
"metref","plssvd","argmax","cpu","rsvd",3,307,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,20,FALSE,FALSE,TRUE,"accuracy",0.751412429378531,0.751412429378531,NA,0.251036714480758,0.0509999999999999,0.01,0.0609999999999999,"ok",NA
"metref","plssvd","argmax","cpu","rsvd",4,401,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.757062146892655,0.757062146892655,NA,0.283672232771656,0.0499999999999998,0.01,0.0599999999999998,"ok",NA
"metref","plssvd","argmax","cpu","rsvd",5,503,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.717514124293785,0.717514124293785,NA,0.246082249477693,0.05,0.01,0.06,"ok",NA
"metref","plssvd","argmax","cpu","rsvd",6,601,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,20,FALSE,FALSE,TRUE,"accuracy",0.768361581920904,0.768361581920904,NA,0.276618357305548,0.05,0.01,0.06,"ok",NA
"metref","plssvd","argmax","cpu","rsvd",7,701,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.734463276836158,0.734463276836158,NA,0.236717935337871,0.0510000000000002,0.0100000000000002,0.0610000000000004,"ok",NA
"metref","plssvd","argmax","cpu","rsvd",8,809,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.774011299435028,0.774011299435028,NA,0.292162736329893,0.0499999999999998,0.00999999999999979,0.0599999999999996,"ok",NA
"metref","plssvd","argmax","cpu","rsvd",9,907,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.711864406779661,0.711864406779661,NA,0.276779584299587,0.052,0.0110000000000001,0.0630000000000002,"ok",NA
"metref","plssvd","argmax","cpu","rsvd",10,1009,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.757062146892655,0.757062146892655,NA,0.273386242265589,0.0499999999999998,0.0100000000000002,0.06,"ok",NA
"metref","plssvd","lda","cpu","rsvd",1,101,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.757062146892655,0.757062146892655,NA,NA,0.0420000000000003,0.0139999999999998,0.056,"ok",NA
"metref","plssvd","lda","cpu","rsvd",2,211,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.84180790960452,0.84180790960452,NA,NA,0.0409999999999999,0.012,0.0529999999999999,"ok",NA
"metref","plssvd","lda","cpu","rsvd",3,307,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.84180790960452,0.84180790960452,NA,NA,0.04,0.0110000000000001,0.0510000000000002,"ok",NA
"metref","plssvd","lda","cpu","rsvd",4,401,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.819209039548023,0.819209039548023,NA,NA,0.0409999999999999,0.0129999999999999,0.0539999999999998,"ok",NA
"metref","plssvd","lda","cpu","rsvd",5,503,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.796610169491525,0.796610169491525,NA,NA,0.0399999999999996,0.012,0.0519999999999996,"ok",NA
"metref","plssvd","lda","cpu","rsvd",6,601,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.824858757062147,0.824858757062147,NA,NA,0.0409999999999995,0.0119999999999996,0.052999999999999,"ok",NA
"metref","plssvd","lda","cpu","rsvd",7,701,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.824858757062147,0.824858757062147,NA,NA,0.04,0.0120000000000005,0.0520000000000005,"ok",NA
"metref","plssvd","lda","cpu","rsvd",8,809,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.847457627118644,0.847457627118644,NA,NA,0.0410000000000004,0.0120000000000005,0.0530000000000008,"ok",NA
"metref","plssvd","lda","cpu","rsvd",9,907,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.824858757062147,0.824858757062147,NA,NA,0.0410000000000004,0.0120000000000005,0.0530000000000008,"ok",NA
"metref","plssvd","lda","cpu","rsvd",10,1009,873,696,177,375,22,5,"2;5;10;15;20;21","2;5;10;15;20;21",2,21,2,21,21,FALSE,TRUE,TRUE,"accuracy",0.836158192090395,0.836158192090395,NA,NA,0.0410000000000004,0.0120000000000005,0.0530000000000008,"ok",NA
"metref","simpls","argmax","cpu","rsvd",1,101,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.72316384180791,0.72316384180791,NA,0.293454565490953,0.311,0.0650000000000004,0.376,"ok",NA
"metref","simpls","argmax","cpu","rsvd",2,211,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.779661016949153,0.779661016949153,NA,0.265001794317865,0.329,0.0649999999999995,0.393999999999999,"ok",NA
"metref","simpls","argmax","cpu","rsvd",3,307,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.774011299435028,0.774011299435028,NA,0.279219746622492,0.311999999999999,0.0630000000000006,0.375,"ok",NA
"metref","simpls","argmax","cpu","rsvd",4,401,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.745762711864407,0.745762711864407,NA,0.29720486886236,0.311,0.0650000000000004,0.376,"ok",NA
"metref","simpls","argmax","cpu","rsvd",5,503,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.711864406779661,0.711864406779661,NA,0.262059511466301,0.312,0.0640000000000001,0.376,"ok",NA
"metref","simpls","argmax","cpu","rsvd",6,601,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.779661016949153,0.779661016949153,NA,0.310491008480611,0.311999999999999,0.0629999999999988,0.374999999999998,"ok",NA
"metref","simpls","argmax","cpu","rsvd",7,701,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.745762711864407,0.745762711864407,NA,0.258835015726236,0.311000000000002,0.0630000000000006,0.374000000000002,"ok",NA
