"scenario_id","design_partition","factor_name","factor_value","task_type","route","backend","svd_method","xprod_requested","xprod_used","requested_oversample","requested_power","rsvd_control_profile","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","effective_oversample","effective_power","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_incremental_rss_mb","median_process_peak_rss_mb","median_gpu_process_peak_mb","median_model_size_mb","median_prediction_relative_error","min_prediction_correlation","min_label_agreement","median_metric_absolute_difference","numerical_failures","completed_runs"
"02_n_2000","one_factor","n",2000,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,100,NA,30,20,1,0.30517578125,0.31,0,0.006,0,0.316,0,6.82862499999999,237.938,NA,0.406005859375,7.20488881256779e-06,0.999999999974051,NA,5.88133821644021e-08,0,1
"02_n_2000","one_factor","n",2000,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,100,NA,30,20,1,0.30517578125,0.35,0,0.006,0,0.356,0,29.078125,267,NA,0.787284851074219,7.26654051278205e-06,0.999999999973604,NA,6.73087923175331e-08,0,1
"07_ncomp_5","one_factor","ncomp",5,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,500,100,NA,100,5,1,0.3814697265625,0.052,0,0.006,0,0.058,0,15.983875,253.562,NA,0.425315856933594,0,1,NA,0,0,1
"07_ncomp_5","one_factor","ncomp",5,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,500,100,NA,100,5,1,0.3814697265625,0.125,0,0.0069999999999999,0,0.132,0,17.484,252.609,NA,0.430404663085938,0.000228318972645867,0.999999973938863,NA,2.53924012039164e-07,0,1
"07_ncomp_5","one_factor","ncomp",5,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,500,100,NA,100,5,1,0.3814697265625,0.126,0,0.005,0,0.131,0,29.9845,268.922,NA,0.529403686523438,5.61784165480946e-06,0.99999999998423,NA,1.54398710483505e-08,0,1
"08_ncomp_40","one_factor","ncomp",40,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,500,100,NA,100,40,1,0.3814697265625,0.171,0,0.006,0,0.177,0,16.155875,258.234,NA,0.585548400878906,0,1,NA,0,0,1
"08_ncomp_40","one_factor","ncomp",40,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,500,100,NA,100,40,1,0.3814697265625,0.745,0,0.0069999999999999,0,0.752,0,11.85975,249.891,NA,0.59063720703125,0.00183126304150426,0.999998323156293,NA,1.47856432020088e-06,0,1
"08_ncomp_40","one_factor","ncomp",40,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,500,100,NA,100,40,1,0.3814697265625,0.712,0,0.00800000000000001,0,0.72,0,34.1565,278.094,NA,1.38390350341797,9.20978407555567e-05,0.999999995758811,NA,4.79161891275837e-08,0,1
"03_p_100","one_factor","p",100,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,100,100,NA,30,20,1,0.0762939453125,0.0219999999999999,0,0.002,0,0.0239999999999999,0,5.343625,217.703,NA,0.121681213378906,0,1,NA,0,0,1
"03_p_100","one_factor","p",100,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,100,100,NA,30,20,1,0.0762939453125,0.0770000000000001,0,0.002,0,0.0790000000000001,0,3.92162500000001,214.906,NA,0.12677001953125,1.26459892411301e-06,0.999999999999198,NA,1.89958798690881e-09,0,1
"03_p_100","one_factor","p",100,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,100,100,NA,30,20,1,0.0762939453125,0.164,0,0.016,0,0.18,0,12.109,227.359,NA,0.462272644042969,1.30901073151202e-06,0.999999999999149,NA,7.69348584839236e-09,0,1
"04_p_1000","one_factor","p",1000,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,1000,100,NA,30,20,1,0.762939453125,0.174,0,0.014,0,0.188,0,16.125375,267.766,NA,0.959388732910156,0,1,NA,0,0,1
"04_p_1000","one_factor","p",1000,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,1000,100,NA,30,20,1,0.762939453125,0.802,0,0.0129999999999999,0,0.815,0,16.078375,264.344,NA,0.9644775390625,1.42664285429552e-05,0.99999999989824,NA,5.98228793169397e-08,0,1
"04_p_1000","one_factor","p",1000,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,1000,100,NA,30,20,1,0.762939453125,0.635,0,0.00800000000000001,0,0.643,0,42.234125,295.531,NA,1.43730926513672,1.44605467992925e-05,0.999999999895459,NA,5.2669082539758e-08,0,1
"09_prefix_count_1","one_factor","prefix_count",1,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,100,NA,30,1,1,0.30517578125,0.033,0,0.00599999999999989,0,0.0389999999999999,0,13.000125,241.672,NA,0.328422546386719,0,1,NA,0,0,1
"09_prefix_count_1","one_factor","prefix_count",1,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,100,NA,30,1,1,0.30517578125,0.045,0,0.006,0,0.051,0,14.390875,248.594,NA,0.333511352539062,2.46400063909512e-05,0.999999999696653,NA,1.49963588214064e-08,0,1
"09_prefix_count_1","one_factor","prefix_count",1,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,100,NA,30,1,1,0.30517578125,0.044,0,0.01,0,0.054,0,21.06275,253.844,NA,0.352401733398438,2.45072930804934e-05,0.999999999699918,NA,1.51361868594435e-08,0,1
"10_prefix_count_10","one_factor","prefix_count",10,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,100,NA,30,20,10,0.30517578125,0.0730000000000001,0,0.048,0,0.121,0,14.499625,242.984,NA,3.14848327636719,0,1,NA,0,0,1
"10_prefix_count_10","one_factor","prefix_count",10,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,100,NA,30,20,10,0.30517578125,0.311,0,0.049,0,0.36,0,20.968375,251.734,NA,3.15357208251953,2.6898388819049e-06,0.99999999999638,NA,8.06889099980168e-09,0,1
"10_prefix_count_10","one_factor","prefix_count",10,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,100,NA,30,20,10,0.30517578125,0.355,0,0.02,0,0.375,0,29.687625,260.047,NA,3.67197418212891,2.6839609922536e-06,0.999999999996391,NA,1.64889967235737e-08,0,1
