"run_id","package_version","source_archive_sha256","cpu_profile","requested_blas_threads","reported_blas_threads","loaded_blas_library","scenario_id","design_partition","factor_name","factor_value","factor_label","task_type","method","route","backend","svd_method","xprod_requested","xprod_used","precision","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","replicate","data_seed","fit_seed","oversample","power","rsvd_control_profile","rsvd_case_audit_available","rsvd_case_audit_certified","rsvd_deterministic_fallbacks","rsvd_audit_max_attempts","rsvd_effective_oversample","rsvd_effective_power","rsvd_max_triplet_residual","rsvd_max_omitted_direction_ratio","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","process_peak_rss_mb","incremental_peak_rss_mb","gpu_process_peak_mb","gpu_total_baseline_mb","gpu_total_peak_mb","gpu_total_incremental_mb","fit_sec","prediction_sec","total_sec","model_size_mb","input_size_mb","rmsd","q2","accuracy","prediction_relative_error","prediction_correlation","label_agreement","score_relative_error","score_correlation","metric_absolute_difference","numerical_status","status","warnings","error"
"01_n_500__cpu_irlba_explicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","01_n_500","one_factor","n",500,500,"regression","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",500,100,400,100,NA,30,20,1,0.30517578125,1,10001,124,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,208.9375,210.125,210.203125,210.125,1.1875,NA,NA,NA,NA,0.043,0.002,0.045,0.400917053222656,2.29011535644531,0.74069400873912,0.451673185285172,NA,0,1,NA,NA,NA,0,"deterministic_reference","success",NA,NA
"01_n_500__cpu_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","01_n_500","one_factor","n",500,500,"regression","simpls","cpu_rsvd_auto","cpu","rsvd","auto",FALSE,"float64",500,100,400,100,NA,30,20,1,0.30517578125,1,10001,124,NA,NA,"high_response_stable",FALSE,NA,NA,NA,48,6,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,206.203125,208.3125,208.40625,208.328,2.124875,NA,NA,NA,NA,0.533,0.002,0.535,0.406021118164062,2.29011535644531,0.740693943654504,0.451673281647876,NA,1.45213470111085e-05,0.999999999894447,NA,NA,NA,6.50846160299423e-08,"within_tolerance","success",NA,NA
"01_n_500__metal_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","01_n_500","one_factor","n",500,500,"regression","simpls","metal_rsvd_auto","metal","rsvd","auto",FALSE,"float64",500,100,400,100,NA,30,20,1,0.30517578125,1,10001,124,NA,NA,"high_response_stable",FALSE,NA,NA,NA,48,6,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,213.109375,239.3125,239.375,239.375,26.265625,NA,NA,NA,NA,0.294,0.003,0.297,0.558418273925781,2.29011535644531,0.740693951540879,0.451673269971498,NA,1.44206686865414e-05,0.999999999895905,NA,NA,NA,5.71982406993854e-08,"within_tolerance","success",NA,NA
"02_n_2000__cpu_irlba_explicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","02_n_2000","one_factor","n",2000,2000,"regression","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",2000,400,400,100,NA,30,20,1,0.30517578125,1,10002,124,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,228.75,243.171875,243.25,243.328,14.578,NA,NA,NA,NA,0.0720000000000001,0.005,0.0770000000000001,0.400917053222656,9.15657043457031,0.557082541516984,0.704109147827775,NA,0,1,NA,NA,NA,0,"deterministic_reference","success",NA,NA
"02_n_2000__cpu_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","02_n_2000","one_factor","n",2000,2000,"regression","simpls","cpu_rsvd_auto","cpu","rsvd","auto",FALSE,"float64",2000,400,400,100,NA,30,20,1,0.30517578125,1,10002,124,NA,NA,"ordinary_fast",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,231.109375,237.875,237.953125,237.938,6.82862499999999,NA,NA,NA,NA,0.31,0.006,0.316,0.406005859375,9.15657043457031,0.557082600330366,0.704109085351061,NA,7.20488881256779e-06,0.999999999974051,NA,NA,NA,5.88133821644021e-08,"within_tolerance","success",NA,NA
"02_n_2000__metal_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","02_n_2000","one_factor","n",2000,2000,"regression","simpls","metal_rsvd_auto","metal","rsvd","auto",FALSE,"float64",2000,400,400,100,NA,30,20,1,0.30517578125,1,10002,124,NA,NA,"ordinary_fast",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,237.921875,261.171875,261.203125,267,29.078125,NA,NA,NA,NA,0.35,0.006,0.356,0.787284851074219,9.15657043457031,0.557082608825776,0.704109076326493,NA,7.26654051278205e-06,0.999999999973604,NA,NA,NA,6.73087923175331e-08,"within_tolerance","success",NA,NA
"07_ncomp_5__cpu_irlba_explicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","07_ncomp_5","one_factor","ncomp",5,5,"regression","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",2000,400,500,100,NA,100,5,1,0.3814697265625,1,10007,124,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,237.578125,253.5625,253.65625,253.562,15.983875,NA,NA,NA,NA,0.052,0.006,0.058,0.425315856933594,10.9876251220703,0.926066863843666,0.139781993182277,NA,0,1,NA,NA,NA,0,"deterministic_reference","success",NA,NA
"07_ncomp_5__cpu_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","07_ncomp_5","one_factor","ncomp",5,5,"regression","simpls","cpu_rsvd_auto","cpu","rsvd","auto",FALSE,"float64",2000,400,500,100,NA,100,5,1,0.3814697265625,1,10007,124,NA,NA,"ordinary_fast",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,235.125,252.609375,253.375,252.609,17.484,NA,NA,NA,NA,0.125,0.0069999999999999,0.132,0.430404663085938,10.9876251220703,0.926067117767678,0.139781521445189,NA,0.000228318972645867,0.999999973938863,NA,NA,NA,2.53924012039164e-07,"within_tolerance","success",NA,NA
"07_ncomp_5__metal_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","07_ncomp_5","one_factor","ncomp",5,5,"regression","simpls","metal_rsvd_auto","metal","rsvd","auto",FALSE,"float64",2000,400,500,100,NA,100,5,1,0.3814697265625,1,10007,124,NA,NA,"ordinary_fast",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,238.9375,265.34375,268.421875,268.922,29.9845,NA,NA,NA,NA,0.126,0.005,0.131,0.529403686523438,10.9876251220703,0.926066879283537,0.139781964498265,NA,5.61784165480946e-06,0.99999999998423,NA,NA,NA,1.54398710483505e-08,"within_tolerance","success",NA,NA
"08_ncomp_40__cpu_irlba_explicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","08_ncomp_40","one_factor","ncomp",40,40,"regression","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",2000,400,500,100,NA,100,40,1,0.3814697265625,1,10008,124,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,242.078125,258.21875,258.3125,258.234,16.155875,NA,NA,NA,NA,0.171,0.006,0.177,0.585548400878906,10.9876251220703,0.601124739067994,0.645696734178412,NA,0,1,NA,NA,NA,0,"deterministic_reference","success",NA,NA
