"run_id","scenario_id","factor_name","design_partition","factor_value","task_type","n_train","n_test","p","q","latent_rank","class_count","max_ncomp","requested_prefixes","route","backend","svd_method","xprod","requested_oversample","requested_power","replicate","reference"
"15_crosscov_mb_4_0__cpu_rsvd_implicit__rep1","15_crosscov_mb_4_0","crosscov_mb","one_factor",3.997802734375,"regression",1500,300,1000,524,20,NA,10,1,"cpu_rsvd_implicit","cpu","rsvd","implicit",32,5,1,FALSE
"15_crosscov_mb_4_0__metal_rsvd_auto__rep1","15_crosscov_mb_4_0","crosscov_mb","one_factor",3.997802734375,"regression",1500,300,1000,524,20,NA,10,1,"metal_rsvd_auto","metal","rsvd","auto",NA,NA,1,FALSE
"15_crosscov_mb_4_0__metal_rsvd_explicit__rep1","15_crosscov_mb_4_0","crosscov_mb","one_factor",3.997802734375,"regression",1500,300,1000,524,20,NA,10,1,"metal_rsvd_explicit","metal","rsvd","explicit",32,5,1,FALSE
"15_crosscov_mb_4_0__metal_rsvd_implicit__rep1","15_crosscov_mb_4_0","crosscov_mb","one_factor",3.997802734375,"regression",1500,300,1000,524,20,NA,10,1,"metal_rsvd_implicit","metal","rsvd","implicit",32,5,1,FALSE
"16_crosscov_mb_40_0__cpu_irlba_explicit__rep1","16_crosscov_mb_40_0","crosscov_mb","one_factor",40.0009155273438,"regression",1500,300,1000,5243,20,NA,10,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"16_crosscov_mb_40_0__cpu_rsvd_auto__rep1","16_crosscov_mb_40_0","crosscov_mb","one_factor",40.0009155273438,"regression",1500,300,1000,5243,20,NA,10,1,"cpu_rsvd_auto","cpu","rsvd","auto",NA,NA,1,FALSE
"16_crosscov_mb_40_0__cpu_rsvd_explicit__rep1","16_crosscov_mb_40_0","crosscov_mb","one_factor",40.0009155273438,"regression",1500,300,1000,5243,20,NA,10,1,"cpu_rsvd_explicit","cpu","rsvd","explicit",32,5,1,FALSE
"16_crosscov_mb_40_0__cpu_rsvd_implicit__rep1","16_crosscov_mb_40_0","crosscov_mb","one_factor",40.0009155273438,"regression",1500,300,1000,5243,20,NA,10,1,"cpu_rsvd_implicit","cpu","rsvd","implicit",32,5,1,FALSE
"16_crosscov_mb_40_0__metal_rsvd_auto__rep1","16_crosscov_mb_40_0","crosscov_mb","one_factor",40.0009155273438,"regression",1500,300,1000,5243,20,NA,10,1,"metal_rsvd_auto","metal","rsvd","auto",NA,NA,1,FALSE
"16_crosscov_mb_40_0__metal_rsvd_explicit__rep1","16_crosscov_mb_40_0","crosscov_mb","one_factor",40.0009155273438,"regression",1500,300,1000,5243,20,NA,10,1,"metal_rsvd_explicit","metal","rsvd","explicit",32,5,1,FALSE
"16_crosscov_mb_40_0__metal_rsvd_implicit__rep1","16_crosscov_mb_40_0","crosscov_mb","one_factor",40.0009155273438,"regression",1500,300,1000,5243,20,NA,10,1,"metal_rsvd_implicit","metal","rsvd","implicit",32,5,1,FALSE
