"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"selected_backend__cbmc_citeseq__kernelpls__cpu__r3","selected_component_backend_panel","cbmc_citeseq","regression","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",49,7755,862,1000,10,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.353,0.004,0.357,283.65625,402.625,409.296875,409.40625,125.75,"rmsd",1050.86326616982,NA,0.513276068657855,1050.86326616982,2377403560.9796,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__kernelpls__metal__r1","selected_component_backend_panel","cbmc_citeseq","regression","kernelpls","metal","metal","metal","rsvd","argmax","float64",49,7755,862,1000,10,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.512,0.016,1.528,284.015625,452.484375,466.515625,510.703125,226.6875,"rmsd",1050.86303425771,NA,0.513276283485352,1050.86303425771,2377402865.49314,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__kernelpls__metal__r2","selected_component_backend_panel","cbmc_citeseq","regression","kernelpls","metal","metal","metal","rsvd","argmax","float64",49,7755,862,1000,10,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.578,0.0130000000000003,1.591,288.109375,458.59375,460.75,516.59375,228.484375,"rmsd",1050.86303425771,NA,0.513276283485352,1050.86303425771,2377402865.49314,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__kernelpls__metal__r3","selected_component_backend_panel","cbmc_citeseq","regression","kernelpls","metal","metal","metal","rsvd","argmax","float64",49,7755,862,1000,10,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.677,0.0139999999999998,1.691,289.578125,460.53125,468.6875,516.5,226.921875,"rmsd",1050.86303425771,NA,0.513276283485352,1050.86303425771,2377402865.49314,8620,"success","","","0.99.39"
"selected_backend__ccle__plssvd__cpu__r1","selected_component_backend_panel","ccle","classification","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",17,547,71,1000,18,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.0229999999999999,0.002,0.0249999999999999,223.671875,228.875,228.984375,229.03125,5.359375,"accuracy",0.647887323943662,0.647887323943662,0.39590315439428,NA,24516,71,"success","","","0.99.39"
"selected_backend__ccle__plssvd__cpu__r2","selected_component_backend_panel","ccle","classification","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",17,547,71,1000,18,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.0169999999999999,0.002,0.0189999999999999,227.265625,232.375,232.484375,232.53125,5.265625,"accuracy",0.647887323943662,0.647887323943662,0.39590315439428,NA,24516,71,"success","","","0.99.39"
"selected_backend__ccle__plssvd__cpu__r3","selected_component_backend_panel","ccle","classification","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",17,547,71,1000,18,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.0169999999999999,0.002,0.0189999999999999,220.65625,221.578125,221.6875,221.734375,1.078125,"accuracy",0.647887323943662,0.647887323943662,0.39590315439428,NA,24516,71,"success","","","0.99.39"
"selected_backend__ccle__plssvd__metal__r1","selected_component_backend_panel","ccle","classification","plssvd","metal","metal","metal","rsvd","argmax","float64",17,547,71,1000,18,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.071,0.004,0.075,223.546875,240,240.25,244.171875,20.625,"accuracy",0.647887323943662,0.647887323943662,0.395903239472745,NA,24516,71,"success","","","0.99.39"
"selected_backend__ccle__plssvd__metal__r2","selected_component_backend_panel","ccle","classification","plssvd","metal","metal","metal","rsvd","argmax","float64",17,547,71,1000,18,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.0609999999999999,0.00800000000000001,0.069,227.6875,240.234375,241.078125,244.328125,16.640625,"accuracy",0.647887323943662,0.647887323943662,0.395903239472745,NA,24516,71,"success","","","0.99.39"
"selected_backend__ccle__plssvd__metal__r3","selected_component_backend_panel","ccle","classification","plssvd","metal","metal","metal","rsvd","argmax","float64",17,547,71,1000,18,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.0599999999999999,0.005,0.065,223.984375,237.859375,237.8125,241.8125,17.828125,"accuracy",0.647887323943662,0.647887323943662,0.395903239472745,NA,24516,71,"success","","","0.99.39"
