"dataset","task_type","n_train","n_test","p","q","ncomp","method","backend","svd_method","pair","configuration","optimized_value","optimization_applicable","xprod","replicate","fit_time_sec","predict_time_sec","total_time_sec","metric_name","metric_value","rss_before_fit_mb","status","error","fit_window_peak_rss_mb","incremental_peak_rss_mb","prediction_agreement","max_abs_prediction_diff"
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","matrix_free","explicit_crosscov",FALSE,TRUE,FALSE,2,0.198,0.348,0.546,"accuracy",0.957340025094103,220.34375,"success",NA,339.9375,119.59375,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","matrix_free","explicit_crosscov",FALSE,TRUE,FALSE,3,0.199,0.348,0.547,"accuracy",0.957340025094103,222.453125,"success",NA,352.359375,129.90625,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","matrix_free","matrix_free",TRUE,TRUE,TRUE,1,4.84,0.347,5.187,"accuracy",0.957340025094103,216.140625,"success",NA,286.21875,70.078125,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","matrix_free","matrix_free",TRUE,TRUE,TRUE,2,4.843,0.344,5.187,"accuracy",0.957340025094103,219,"success",NA,323.046875,104.046875,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","matrix_free","matrix_free",TRUE,TRUE,TRUE,3,4.839,0.362,5.201,"accuracy",0.957340025094103,218.984375,"success",NA,306.109375,87.125,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","cached_XtX","xtx_off",FALSE,FALSE,FALSE,1,0.196,0.405,0.601,"accuracy",0.957340025094103,216.921875,"success",NA,315.65625,98.734375,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","cached_XtX","xtx_off",FALSE,FALSE,FALSE,2,0.193,0.404,0.597,"accuracy",0.957340025094103,218.65625,"success",NA,357.015625,138.359375,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","cached_XtX","xtx_off",FALSE,FALSE,FALSE,3,0.194,0.403,0.597,"accuracy",0.957340025094103,219.578125,"success",NA,358.109375,138.53125,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","cached_XtX","xtx_on",TRUE,FALSE,FALSE,1,0.193,0.398,0.591,"accuracy",0.957340025094103,217.453125,"success",NA,360.3125,142.859375,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","cached_XtX","xtx_on",TRUE,FALSE,FALSE,2,0.195,0.399,0.594,"accuracy",0.957340025094103,227.296875,"success",NA,376.875,149.578125,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","cached_XtX","xtx_on",TRUE,FALSE,FALSE,3,0.19,0.399,0.589,"accuracy",0.957340025094103,220.203125,"success",NA,355.828125,135.625,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","compact_prediction","coefficient_cube",FALSE,TRUE,FALSE,1,0.017,0.00900000000000001,0.026,"accuracy",0.77,191.828125,"success",NA,200.15625,8.328125,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","compact_prediction","coefficient_cube",FALSE,TRUE,FALSE,2,0.016,0.00900000000000001,0.025,"accuracy",0.77,185.25,"success",NA,193.25,8,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","compact_prediction","coefficient_cube",FALSE,TRUE,FALSE,3,0.016,0.01,0.026,"accuracy",0.77,190.515625,"success",NA,201.109375,10.59375,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","incremental_coefficients","coefficients_incremental",TRUE,TRUE,FALSE,1,0.017,0.00900000000000001,0.026,"accuracy",0.77,190.140625,"success",NA,195.921875,5.78125,1,NA
"metref","classification",773,100,375,22,22,"simpls","cpu","irlba","incremental_coefficients","coefficients_incremental",TRUE,TRUE,FALSE,2,0.018,0.01,0.028,"accuracy",0.77,198.421875,"success",NA,208.3125,9.890625,1,NA
