"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"gtex_v8","simpls","argmax","cpu","rsvd",9,907,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.96640826873385,0.96640826873385,NA,0.816714608526309,8.953,1.80499999999999,10.758,"ok",NA
"gtex_v8","simpls","argmax","cpu","rsvd",10,1009,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.967700258397933,0.967700258397933,NA,0.809397150077899,8.90900000000001,1.81,10.719,"ok",NA
"gtex_v8","simpls","lda","cpu","rsvd",1,101,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,75,FALSE,FALSE,FALSE,"accuracy",0.979328165374677,0.979328165374677,NA,NA,10.413,1.917,12.33,"ok",NA
"gtex_v8","simpls","lda","cpu","rsvd",2,211,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.972868217054264,0.972868217054264,NA,NA,10.542,2.137,12.679,"ok",NA
"gtex_v8","simpls","lda","cpu","rsvd",3,307,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.974160206718346,0.974160206718346,NA,NA,10.316,2.11199999999999,12.428,"ok",NA
"gtex_v8","simpls","lda","cpu","rsvd",4,401,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,75,FALSE,FALSE,FALSE,"accuracy",0.96640826873385,0.96640826873385,NA,NA,10.38,1.602,11.982,"ok",NA
"gtex_v8","simpls","lda","cpu","rsvd",5,503,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.970284237726098,0.970284237726098,NA,NA,10.329,2.122,12.451,"ok",NA
"gtex_v8","simpls","lda","cpu","rsvd",6,601,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.974160206718346,0.974160206718346,NA,NA,10.318,2.117,12.435,"ok",NA
"gtex_v8","simpls","lda","cpu","rsvd",7,701,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.96640826873385,0.96640826873385,NA,NA,10.318,2.118,12.436,"ok",NA
"gtex_v8","simpls","lda","cpu","rsvd",8,809,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.965116279069767,0.965116279069767,NA,NA,10.315,2.118,12.433,"ok",NA
"gtex_v8","simpls","lda","cpu","rsvd",9,907,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,75,FALSE,FALSE,FALSE,"accuracy",0.974160206718346,0.974160206718346,NA,NA,10.376,1.601,11.977,"ok",NA
"gtex_v8","simpls","lda","cpu","rsvd",10,1009,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.976744186046512,0.976744186046512,NA,NA,10.308,2.11500000000001,12.423,"ok",NA
