"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"component_path__cbmc_citeseq__plssvd__k5__cpu__r3","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",5,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.114,0.005,0.119,288.8125,348.90625,355.578125,355.65625,66.84375,"rmsd",1092.52684370828,NA,0.473916705824901,1092.52684370828,2374186874.65415,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k5__cpu__r4","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",5,7755,862,1000,10,1004,4,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.113,0.005,0.118,298.28125,358.46875,358.578125,358.625,60.34375,"rmsd",1092.52684370828,NA,0.473916705824901,1092.52684370828,2374186874.65415,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k5__cpu__r5","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",5,7755,862,1000,10,1005,5,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.112,0.005,0.117,291.984375,352.0625,358.734375,358.859375,66.875,"rmsd",1092.52684370828,NA,0.473916705824901,1092.52684370828,2374186874.65415,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k5__metal__r1","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",5,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.23,0.0130000000000001,0.243,289.453125,416.703125,443.03125,475.609375,186.15625,"rmsd",1092.52727754255,NA,0.473916288017302,1092.52727754255,2374184193.32107,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k5__metal__r2","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",5,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.216,0.0170000000000001,0.233,288.515625,377.03125,411.125,437.875,149.359375,"rmsd",1092.52727754255,NA,0.473916288017302,1092.52727754255,2374184193.32107,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k5__metal__r3","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",5,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.203,0.019,0.222,295.5625,419.59375,433.796875,481.5625,186,"rmsd",1092.52727754255,NA,0.473916288017302,1092.52727754255,2374184193.32107,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k5__metal__r4","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",5,7755,862,1000,10,1004,4,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.209,0.0180000000000001,0.227,287.640625,415.265625,430.859375,448.125,160.484375,"rmsd",1092.52727754255,NA,0.473916288017302,1092.52727754255,2374184193.32107,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k5__metal__r5","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",5,7755,862,1000,10,1005,5,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.219,0.015,0.234,285.40625,412.421875,438.75,471.640625,186.234375,"rmsd",1092.52727754255,NA,0.473916288017302,1092.52727754255,2374184193.32107,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k10__cpu__r1","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",10,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.125,0.004,0.129,284.921875,344.984375,351.65625,351.703125,66.78125,"rmsd",1096.50042330597,NA,0.470082959556205,1096.50042330597,2368212056.68359,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k10__cpu__r2","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",10,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.125,0.004,0.129,283.3125,343.515625,350.1875,350.265625,66.953125,"rmsd",1096.50042330597,NA,0.470082959556205,1096.50042330597,2368212056.68359,8620,"success","","","0.99.39"
